,num,joueur
0,,Darren Bent
1,,Yacouba Sylla
2,,Joe Bennett
3,,Gabriel Agbonlahor
4,,Nathan Baker
5,,Matthew Lowton
6,,Andreas Weimann
7,,Ashley Westwood
8,,Fabian Delph
9,,
10,,Shay Given
