,num,joueur
0,,Mark Hudson
1,,Craig Bellamy
2,,Declan John
3,,Fraizer Campbell
4,,Kevin McNaughton
5,,Jordon Mutch
6,,Craig Noone
7,,Steven Caulker
8,,Gary Medel
9,,
10,,Joe Lewis
