,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Leon Best,,ie IRL,FW,24-149,74,1,0,0,,,,0,0,,,,,,,0,,
1,Danny Guthrie,,eng ENG,MF,23-303,16,0,0,0,,,,0,0,,,,,,,0,,
2,Peter Løvenkrands,,dk DEN,"FW,MF",31-017,63,1,0,0,,,,0,0,,,,,,,0,,
3,Nile Ranger,,eng ENG,FW,19-310,27,0,0,0,,,,1,0,,,,,,,0,,
4,Jonás Gutiérrez,,ar ARG,MF,27-225,86,0,2,0,,,,0,0,,,,,,,0,,
5,Sol Campbell,,eng ENG,"DF,FW",36-150,4,0,0,0,,,,0,0,,,,,,,0,,
6,Kevin Nolan,,eng ENG,MF,28-236,90,0,0,0,,,,1,0,,,,,,,0,,
7,Cheick Tioté,,ci CIV,MF,24-239,90,0,0,0,,,,0,0,,,,,,,0,,
8,Joey Barton,,eng ENG,MF,28-166,90,0,0,0,,,,1,0,,,,,,,0,,
9,José Enrique,,es ESP,DF,25-023,90,0,0,0,,,,0,0,,,,,,,0,,
10,Fabricio Coloccini,,ar ARG,"DF,MF",29-024,90,0,0,0,,,,0,0,,,,,,,0,,
11,Mike Williamson,,eng ENG,DF,27-099,90,0,0,0,,,,0,0,,,,,,,0,,
12,Danny Simpson,,eng ENG,DF,24-042,90,0,0,0,,,,0,0,,,,,,,0,,
13,Steve Harper,,eng ENG,GK,35-338,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,2,2,0,,,,3,0,,,,,,,0,,
