,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2014-08-17,16:00 ,Premier League,Matchweek 1,Sun,Home,L,0,2,Manchester City,44,"50,816",,4-1-4-1,Martin Atkinson,https://fbref.com/en/matches/bc989fec/Newcastle-United-Manchester-City-August-17-2014-Premier-League,
1,2014-08-23,12:45 ,Premier League,Matchweek 2,Sat,Away,D,0,0,Aston Villa,60,"30,267",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/4db97176/Aston-Villa-Newcastle-United-August-23-2014-Premier-League,
3,2014-08-30,15:00 ,Premier League,Matchweek 3,Sat,Home,D,3,3,Crystal Palace,64,"49,226",,4-2-3-1,Mike Jones,https://fbref.com/en/matches/e835a8f0/Newcastle-United-Crystal-Palace-August-30-2014-Premier-League,
4,2014-09-13,15:00 ,Premier League,Matchweek 4,Sat,Away,L,0,4,Southampton,50,"29,678",,4-2-3-1,Chris Foy,https://fbref.com/en/matches/78b593cf/Southampton-Newcastle-United-September-13-2014-Premier-League,
5,2014-09-20,15:00 ,Premier League,Matchweek 5,Sat,Home,D,2,2,Hull City,63,"49,119",,4-2-3-1,Niel Swarbrick,https://fbref.com/en/matches/2bfda5d1/Newcastle-United-Hull-City-September-20-2014-Premier-League,
7,2014-09-29,20:00 ,Premier League,Matchweek 6,Mon,Away,L,0,1,Stoke City,56,"26,332",,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/9d2c4411/Stoke-City-Newcastle-United-September-29-2014-Premier-League,
8,2014-10-04,15:00 ,Premier League,Matchweek 7,Sat,Away,D,2,2,Swansea City,37,"20,622",,4-5-1,Lee Mason,https://fbref.com/en/matches/8aeabd40/Swansea-City-Newcastle-United-October-4-2014-Premier-League,
9,2014-10-18,16:00 ,Premier League,Matchweek 8,Sat,Home,W,1,0,Leicester City,51,"51,886",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/d477de52/Newcastle-United-Leicester-City-October-18-2014-Premier-League,
10,2014-10-26,13:30 ,Premier League,Matchweek 9,Sun,Away,W,2,1,Tottenham,33,"35,650",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/19c1265c/Tottenham-Hotspur-Newcastle-United-October-26-2014-Premier-League,
12,2014-11-01,12:45 ,Premier League,Matchweek 10,Sat,Home,W,1,0,Liverpool,36,"52,166",,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/38a177bd/Newcastle-United-Liverpool-November-1-2014-Premier-League,
13,2014-11-09,13:30 ,Premier League,Matchweek 11,Sun,Away,W,2,0,West Brom,42,"26,476",,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/0ffca066/West-Bromwich-Albion-Newcastle-United-November-9-2014-Premier-League,
14,2014-11-22,15:00 ,Premier League,Matchweek 12,Sat,Home,W,1,0,QPR,54,"51,915",,4-2-3-1,Chris Foy,https://fbref.com/en/matches/9cfe8a36/Newcastle-United-Queens-Park-Rangers-November-22-2014-Premier-League,
15,2014-11-29,15:00 ,Premier League,Matchweek 13,Sat,Away,L,0,1,West Ham,53,"34,977",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/6a2aba32/West-Ham-United-Newcastle-United-November-29-2014-Premier-League,
