,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2016-08-13,17:30 ,Premier League,Matchweek 1,Sat,Away,L,1,2,Manchester City,23,"54,362",John O'Shea,4-2-3-1,Robert Madley,https://fbref.com/en/matches/69572f77/Manchester-City-Sunderland-August-13-2016-Premier-League,
1,2016-08-21,13:30 ,Premier League,Matchweek 2,Sun,Home,L,1,2,Middlesbrough,47,"43,515",John O'Shea,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/8cecbb4b/Sunderland-Middlesbrough-August-21-2016-Premier-League,
3,2016-08-27,15:00 ,Premier League,Matchweek 3,Sat,Away,D,1,1,Southampton,36,"30,152",Jermain Defoe,4-1-2-1-2◆,Lee Mason,https://fbref.com/en/matches/928fc62b/Southampton-Sunderland-August-27-2016-Premier-League,
4,2016-09-12,20:00 ,Premier League,Matchweek 4,Mon,Home,L,0,3,Everton,33,"42,406",Jermain Defoe,4-4-1-1,Mike Jones,https://fbref.com/en/matches/ee13fb62/Sunderland-Everton-September-12-2016-Premier-League,
5,2016-09-18,16:30 ,Premier League,Matchweek 5,Sun,Away,L,0,1,Tottenham,26,"31,251",Lee Cattermole,4-3-3,Mike Dean,https://fbref.com/en/matches/53afbf61/Tottenham-Hotspur-Sunderland-September-18-2016-Premier-League,
7,2016-09-24,15:00 ,Premier League,Matchweek 6,Sat,Home,L,2,3,Crystal Palace,45,"38,941",Lee Cattermole,4-3-3,Anthony Taylor,https://fbref.com/en/matches/a4b57066/Sunderland-Crystal-Palace-September-24-2016-Premier-League,
8,2016-10-01,15:00 ,Premier League,Matchweek 7,Sat,Home,D,1,1,West Brom,56,"40,043",John O'Shea,4-1-4-1,Stuart Attwell,https://fbref.com/en/matches/43999aa3/Sunderland-West-Bromwich-Albion-October-1-2016-Premier-League,
9,2016-10-15,15:00 ,Premier League,Matchweek 8,Sat,Away,L,0,2,Stoke City,43,"27,701",John O'Shea,4-5-1,Mike Jones,https://fbref.com/en/matches/10597ee6/Stoke-City-Sunderland-October-15-2016-Premier-League,
10,2016-10-22,15:00 ,Premier League,Matchweek 9,Sat,Away,L,0,1,West Ham,36,"56,985",John O'Shea,4-5-1,Robert Madley,https://fbref.com/en/matches/ca096709/West-Ham-United-Sunderland-October-22-2016-Premier-League,
12,2016-10-29,12:30 ,Premier League,Matchweek 10,Sat,Home,L,1,4,Arsenal,34,"44,322",John O'Shea,4-5-1,Martin Atkinson,https://fbref.com/en/matches/ed5de6ff/Sunderland-Arsenal-October-29-2016-Premier-League,
13,2016-11-05,15:00 ,Premier League,Matchweek 11,Sat,Away,W,2,1,Bournemouth,30,"11,084",Jermain Defoe,4-5-1,Mike Dean,https://fbref.com/en/matches/85c4cecf/Bournemouth-Sunderland-November-5-2016-Premier-League,
14,2016-11-19,15:00 ,Premier League,Matchweek 12,Sat,Home,W,3,0,Hull City,41,"41,271",Jermain Defoe,4-3-3,Lee Mason,https://fbref.com/en/matches/93cbea2e/Sunderland-Hull-City-November-19-2016-Premier-League,
15,2016-11-26,15:00 ,Premier League,Matchweek 13,Sat,Away,L,0,2,Liverpool,23,"53,114",John O'Shea,4-3-3,Anthony Taylor,https://fbref.com/en/matches/80d02dd1/Liverpool-Sunderland-November-26-2016-Premier-League,
16,2016-12-03,15:00 ,Premier League,Matchweek 14,Sat,Home,W,2,1,Leicester City,54,"39,725",Jermain Defoe,4-3-3,Andre Marriner,https://fbref.com/en/matches/d86fac52/Sunderland-Leicester-City-December-3-2016-Premier-League,
17,2016-12-10,15:00 ,Premier League,Matchweek 15,Sat,Away,L,0,3,Swansea City,38,"20,453",Jermain Defoe,4-4-2,Craig Pawson,https://fbref.com/en/matches/4d44131d/Swansea-City-Sunderland-December-10-2016-Premier-League,
18,2016-12-14,19:45 ,Premier League,Matchweek 16,Wed,Home,L,0,1,Chelsea,34,"41,008",John O'Shea,3-4-3,Niel Swarbrick,https://fbref.com/en/matches/03794a81/Sunderland-Chelsea-December-14-2016-Premier-League,
19,2016-12-17,15:00 ,Premier League,Matchweek 17,Sat,Home,W,1,0,Watford,43,"40,267",Jermain Defoe,4-2-3-1,Robert Madley,https://fbref.com/en/matches/46cce5f1/Sunderland-Watford-December-17-2016-Premier-League,
