,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-13,20:00 ,Premier League,Matchweek 1,Fri,Away,L,0,2,Brentford,1.3,1.2,64,"16,479",Granit Xhaka,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League,
1,2021-08-22,16:30 ,Premier League,Matchweek 2,Sun,Home,L,0,2,Chelsea,0.3,3.1,35,"58,729",Granit Xhaka,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/93954213/North-West-London-Derby-Arsenal-Chelsea-August-22-2021-Premier-League,
3,2021-08-28,12:30 ,Premier League,Matchweek 3,Sat,Away,L,0,5,Manchester City,0.2,4.4,20,"52,276",Pierre-Emerick Aubameyang,5-4-1,Martin Atkinson,https://fbref.com/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League,
4,2021-09-11,15:00 ,Premier League,Matchweek 4,Sat,Home,W,1,0,Norwich City,2.7,0.7,51,"58,000",Pierre-Emerick Aubameyang,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/4ac58f71/Arsenal-Norwich-City-September-11-2021-Premier-League,
5,2021-09-18,15:00 ,Premier League,Matchweek 5,Sat,Away,W,1,0,Burnley,1.1,1.0,54,"20,000",Pierre-Emerick Aubameyang,4-1-4-1,Anthony Taylor,https://fbref.com/en/matches/a427debc/Burnley-Arsenal-September-18-2021-Premier-League,
7,2021-09-26,16:30 ,Premier League,Matchweek 6,Sun,Home,W,3,1,Tottenham,1.1,1.0,46,"59,919",Pierre-Emerick Aubameyang,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/a2c07e97/North-London-Derby-Arsenal-Tottenham-Hotspur-September-26-2021-Premier-League,
8,2021-10-02,17:30 ,Premier League,Matchweek 7,Sat,Away,D,0,0,Brighton,0.4,1.1,42,"31,266",Pierre-Emerick Aubameyang,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/cdaded7b/Brighton-and-Hove-Albion-Arsenal-October-2-2021-Premier-League,
9,2021-10-18,20:00 ,Premier League,Matchweek 8,Mon,Home,D,2,2,Crystal Palace,1.7,0.7,54,"59,475",Pierre-Emerick Aubameyang,4-1-4-1,Mike Dean,https://fbref.com/en/matches/0f3a1892/Arsenal-Crystal-Palace-October-18-2021-Premier-League,
10,2021-10-22,20:00 ,Premier League,Matchweek 9,Fri,Home,W,3,1,Aston Villa,2.7,1.4,53,"59,496",Pierre-Emerick Aubameyang,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/ac95a75a/Arsenal-Aston-Villa-October-22-2021-Premier-League,
12,2021-10-30,12:30 ,Premier League,Matchweek 10,Sat,Away,W,2,0,Leicester City,0.7,1.3,36,"32,209",Pierre-Emerick Aubameyang,4-4-1-1,Michael Oliver,https://fbref.com/en/matches/719b57c6/Leicester-City-Arsenal-October-30-2021-Premier-League,
13,2021-11-07,14:00 ,Premier League,Matchweek 11,Sun,Home,W,1,0,Watford,1.6,0.5,60,"59,833",Pierre-Emerick Aubameyang,4-4-1-1,Kevin Friend,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League,
14,2021-11-20,17:30 ,Premier League,Matchweek 12,Sat,Away,L,0,4,Liverpool,0.4,4.3,38,"53,092",Pierre-Emerick Aubameyang,4-4-1-1,Michael Oliver,https://fbref.com/en/matches/e9ea66e1/Liverpool-Arsenal-November-20-2021-Premier-League,
15,2021-11-27,12:30 ,Premier League,Matchweek 13,Sat,Home,W,2,0,Newcastle Utd,2.5,0.3,66,"59,886",Pierre-Emerick Aubameyang,4-4-1-1,Stuart Attwell,https://fbref.com/en/matches/067e0ab9/Arsenal-Newcastle-United-November-27-2021-Premier-League,
16,2021-12-02,20:15 ,Premier League,Matchweek 14,Thu,Away,L,2,3,Manchester Utd,1.4,1.9,56,"73,123",Pierre-Emerick Aubameyang,4-4-1-1,Martin Atkinson,https://fbref.com/en/matches/4323a38f/Manchester-United-Arsenal-December-2-2021-Premier-League,
17,2021-12-06,20:00 ,Premier League,Matchweek 15,Mon,Away,L,1,2,Everton,1.0,0.9,63,"38,906",Alexandre Lacazette,4-2-3-1,Mike Dean,https://fbref.com/en/matches/5fdb6c19/Everton-Arsenal-December-6-2021-Premier-League,
18,2021-12-11,15:00 ,Premier League,Matchweek 16,Sat,Home,W,3,0,Southampton,1.8,0.6,61,"59,653",Alexandre Lacazette,4-4-1-1,Jarred Gillett,https://fbref.com/en/matches/6a35f07c/Arsenal-Southampton-December-11-2021-Premier-League,
19,2021-12-15,20:00 ,Premier League,Matchweek 17,Wed,Home,W,2,0,West Ham,2.8,0.4,55,"59,777",Alexandre Lacazette,4-4-1-1,Anthony Taylor,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League,
20,2021-12-18,17:30 ,Premier League,Matchweek 18,Sat,Away,W,4,1,Leeds United,3.5,1.6,49,"36,166",Alexandre Lacazette,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/53b542d8/Leeds-United-Arsenal-December-18-2021-Premier-League,
22,2021-12-26,15:00 ,Premier League,Matchweek 19,Sun,Away,W,5,0,Norwich City,2.5,0.1,64,"26,940",Alexandre Lacazette,4-2-3-1,Graham Scott,https://fbref.com/en/matches/83ce723b/Norwich-City-Arsenal-December-26-2021-Premier-League,
