,team,matchweek,Match Report
0,Burnley-Stats,Matchweek 26,https://fbref.com/en/matches/a54e56e3/Burnley-Manchester-City-February-3-2018-Premier-League
1,Crystal-Palace-Stats,Matchweek 15,https://fbref.com/en/matches/4a14eedc/West-Bromwich-Albion-Crystal-Palace-December-2-2017-Premier-League
2,Crystal-Palace-Stats,Matchweek 24,https://fbref.com/en/matches/65607b87/Arsenal-Crystal-Palace-January-20-2018-Premier-League
3,Crystal-Palace-Stats,Matchweek 33,https://fbref.com/en/matches/b2a3c401/Bournemouth-Crystal-Palace-April-7-2018-Premier-League
4,Everton-Stats,Matchweek 9,https://fbref.com/en/matches/73da64ff/Everton-Arsenal-October-22-2017-Premier-League
5,Huddersfield-Town-Stats,Matchweek 23,https://fbref.com/en/matches/7e7a4e35/Huddersfield-Town-West-Ham-United-January-13-2018-Premier-League
6,Manchester-City-Stats,Matchweek 11,https://fbref.com/en/matches/03da14dd/Manchester-City-Arsenal-November-5-2017-Premier-League
7,Manchester-City-Stats,Matchweek 26,https://fbref.com/en/matches/a54e56e3/Burnley-Manchester-City-February-3-2018-Premier-League
8,Southampton-Stats,Matchweek 2,https://fbref.com/en/matches/4dc6e9ad/Southampton-West-Ham-United-August-19-2017-Premier-League
9,Stoke-City-Stats,Matchweek 4,https://fbref.com/en/matches/06ec2f77/Stoke-City-Manchester-United-September-9-2017-Premier-League
10,Watford-Stats,Matchweek 23,https://fbref.com/en/matches/eb2cc880/Watford-Southampton-January-13-2018-Premier-League
11,West-Bromwich-Albion-Stats,Matchweek 15,https://fbref.com/en/matches/4a14eedc/West-Bromwich-Albion-Crystal-Palace-December-2-2017-Premier-League
12,West-Ham-United-Stats,Matchweek 2,https://fbref.com/en/matches/4dc6e9ad/Southampton-West-Ham-United-August-19-2017-Premier-League
13,West-Ham-United-Stats,Matchweek 23,https://fbref.com/en/matches/7e7a4e35/Huddersfield-Town-West-Ham-United-January-13-2018-Premier-League
