,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2013-08-17,,Premier League,Matchweek 1,Sat,Away,W,1,0,Sunderland,,"43,905",,4-4-1-1,Neil Swarbrick,https://fbref.com/en/matches/db2e1d60/Sunderland-Fulham-August-17-2013-Premier-League,
1,2013-08-24,,Premier League,Matchweek 2,Sat,Home,L,1,3,Arsenal,,"25,622",,4-4-1-1,Howard Webb,https://fbref.com/en/matches/c081d2e6/Fulham-Arsenal-August-24-2013-Premier-League,
2,2013-08-31,,Premier League,Matchweek 3,Sat,Away,L,0,1,Newcastle Utd,,"46,402",,4-4-1-1,Chris Foy,https://fbref.com/en/matches/eb25ce01/Newcastle-United-Fulham-August-31-2013-Premier-League,
3,2013-09-14,,Premier League,Matchweek 4,Sat,Home,D,1,1,West Brom,,"25,560",,4-4-1-1,Lee Probert,https://fbref.com/en/matches/b3a16ffb/Fulham-West-Bromwich-Albion-September-14-2013-Premier-League,
4,2013-09-21,,Premier League,Matchweek 5,Sat,Away,L,0,2,Chelsea,,"41,608",,4-4-1-1,Andre Marriner,https://fbref.com/en/matches/ddae5f61/Chelsea-Fulham-September-21-2013-Premier-League,
5,2013-09-28,,Premier League,Matchweek 6,Sat,Home,L,1,2,Cardiff City,,"23,020",,4-4-1-1,Craig Pawson,https://fbref.com/en/matches/e0556f9a/Fulham-Cardiff-City-September-28-2013-Premier-League,
6,2013-10-05,,Premier League,Matchweek 7,Sat,Home,W,1,0,Stoke City,,"24,634",,4-4-1-1,Roger East,https://fbref.com/en/matches/9b78c156/Fulham-Stoke-City-October-5-2013-Premier-League,
7,2013-10-21,,Premier League,Matchweek 8,Mon,Away,W,4,1,Crystal Palace,,"24,881",,4-4-1-1,Lee Mason,https://fbref.com/en/matches/420afe61/Crystal-Palace-Fulham-October-21-2013-Premier-League,
8,2013-10-26,,Premier League,Matchweek 9,Sat,Away,L,0,2,Southampton,,"28,631",,4-4-1-1,Andre Marriner,https://fbref.com/en/matches/416b9793/Southampton-Fulham-October-26-2013-Premier-League,
9,2013-11-02,,Premier League,Matchweek 10,Sat,Home,L,1,3,Manchester Utd,,"25,700",,4-4-1-1,Lee Probert,https://fbref.com/en/matches/2f2373ca/Fulham-Manchester-United-November-2-2013-Premier-League,
10,2013-11-09,,Premier League,Matchweek 11,Sat,Away,L,0,4,Liverpool,,"44,768",,4-4-1-1,Mike Jones,https://fbref.com/en/matches/5023e438/Liverpool-Fulham-November-9-2013-Premier-League,
11,2013-11-23,,Premier League,Matchweek 12,Sat,Home,L,1,2,Swansea City,,"25,258",,4-3-2-1,Andre Marriner,https://fbref.com/en/matches/1885e56a/Fulham-Swansea-City-November-23-2013-Premier-League,
12,2013-11-30,,Premier League,Matchweek 13,Sat,Away,L,0,3,West Ham,,"34,946",,4-4-1-1,Martin Atkinson,https://fbref.com/en/matches/9151aaf1/West-Ham-United-Fulham-November-30-2013-Premier-League,
13,2013-12-04,,Premier League,Matchweek 14,Wed,Home,L,1,2,Tottenham,,"24,128",,4-4-1-1,Mark Clattenburg,https://fbref.com/en/matches/bac5583d/Fulham-Tottenham-Hotspur-December-4-2013-Premier-League,
