,equipe,lien
0,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/2013-2014/Manchester-City-Stats
1,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/2013-2014/Liverpool-Stats
2,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/2013-2014/Chelsea-Stats
3,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/2013-2014/Arsenal-Stats
4,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/2013-2014/Everton-Stats
5,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/2013-2014/Tottenham-Hotspur-Stats
6,Manchester-United-Stats,https://fbref.com/en/squads/19538871/2013-2014/Manchester-United-Stats
7,Southampton-Stats,https://fbref.com/en/squads/33c895d4/2013-2014/Southampton-Stats
8,Stoke-City-Stats,https://fbref.com/en/squads/17892952/2013-2014/Stoke-City-Stats
9,Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/2013-2014/Newcastle-United-Stats
10,Crystal-Palace-Stats,https://fbref.com/en/squads/47c64c55/2013-2014/Crystal-Palace-Stats
11,Swansea-City-Stats,https://fbref.com/en/squads/fb10988f/2013-2014/Swansea-City-Stats
12,West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/2013-2014/West-Ham-United-Stats
13,Sunderland-Stats,https://fbref.com/en/squads/8ef52968/2013-2014/Sunderland-Stats
14,Aston-Villa-Stats,https://fbref.com/en/squads/8602292d/2013-2014/Aston-Villa-Stats
15,Hull-City-Stats,https://fbref.com/en/squads/bd8769d1/2013-2014/Hull-City-Stats
16,West-Bromwich-Albion-Stats,https://fbref.com/en/squads/60c6b05f/2013-2014/West-Bromwich-Albion-Stats
17,Norwich-City-Stats,https://fbref.com/en/squads/1c781004/2013-2014/Norwich-City-Stats
18,Fulham-Stats,https://fbref.com/en/squads/fd962109/2013-2014/Fulham-Stats
19,Cardiff-City-Stats,https://fbref.com/en/squads/75fae011/2013-2014/Cardiff-City-Stats
