,num,joueur
0,1,Łukasz Fabiański
1,3,Neil Taylor
2,4,Ki Sung-yueng
3,6,Ashley Williams
4,7,Leon Britton
5,8,Jonjo Shelvey
6,10,André Ayew
7,15,Wayne Routledge
8,17,Éder
9,26,Kyle Naughton
10,27,Kyle Bartley
