,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Julián Álvarez,19.0,ar ARG,FW,23-117,90,43,1,5,10,29,6,43,3,3,100.0,0,0.0,32,167,56,1,1,0,3,3,40,7
1,Sergio Gómez,21.0,es ESP,"LW,LB",22-266,90,89,6,24,37,29,2,89,0,0,,0,,47,279,158,3,2,0,1,0,67,4
2,Riyad Mahrez,26.0,dz ALG,RW,32-096,90,54,1,6,14,35,2,54,2,1,50.0,1,50.0,40,222,41,2,0,2,0,3,45,9
3,Phil Foden,47.0,eng ENG,"CM,LW",23-000,90,62,2,7,19,38,1,62,9,5,55.6,1,11.1,46,341,173,5,2,1,2,1,54,2
4,Cole Palmer,80.0,eng ENG,"CM,AM",21-022,90,50,2,5,15,31,6,50,5,3,60.0,2,40.0,38,243,109,3,2,1,1,3,40,3
5,Kalvin Phillips,4.0,eng ENG,DM,27-177,90,86,4,16,50,20,1,86,1,0,0.0,0,0.0,63,299,111,1,3,0,1,0,71,1
6,Rico Lewis,82.0,eng ENG,DM,18-188,90,56,3,11,21,24,2,56,0,0,,0,,39,190,101,1,1,0,2,2,46,5
7,Nathan Aké,6.0,nl NED,LB,28-099,62,65,5,19,35,11,0,65,0,0,,0,,43,170,79,0,4,0,0,0,49,0
8,Shea Charles,62.0,nir NIR,CB,19-204,28,32,5,14,18,0,0,32,0,0,,0,,20,116,43,1,0,0,0,1,19,0
9,Aymeric Laporte,14.0,es ESP,CB,29-001,90,78,17,34,34,10,1,78,2,1,50.0,0,0.0,44,318,214,2,5,0,0,0,51,0
10,Kyle Walker,2.0,eng ENG,RB,33-000,90,91,2,20,42,29,1,91,0,0,,0,,59,311,211,7,6,0,1,0,71,2
11,Ederson,31.0,br BRA,GK,29-284,90,46,40,46,0,0,0,46,0,0,,0,,30,134,75,0,0,0,0,0,32,0
12,12 Players,,,,,990,752,88,207,295,256,22,752,22,13,59.1,4,18.2,501,2790,1371,26,26,4,11,13,585,33
