,num,joueur
0,,Tim Howard
1,,Tony Hibbert
2,,Leighton Baines
3,,Leon Osman
4,,Diniyar Bilyaletdinov
5,,Jermaine Beckford
6,,Phil Jagielka
7,,John Heitinga
8,,Séamus Coleman
9,,Sylvain Distin
10,,Phil Neville
