,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Robin van Persie,,nl NED,FW,27-190,71,2,0,0,,,,0,0,,,,,,,0,,
1,Nicklas Bendtner,,dk DEN,FW,23-027,19,0,0,0,,,,0,0,,,,,,,0,,
2,Andrey Arshavin,,ru RUS,"FW,MF",29-259,71,0,0,0,,,,0,0,,,,,,,0,,
3,Marouane Chamakh,,ma MAR,FW,27-033,19,0,0,0,,,,0,0,,,,,,,0,,
4,Theo Walcott,,eng ENG,"FW,MF",21-333,90,0,1,0,,,,0,0,,,,,,,0,,
5,Cesc Fàbregas,,es ESP,"FW,MF",23-284,90,0,1,0,,,,0,0,,,,,,,0,,
6,Jack Wilshere,,eng ENG,MF,19-042,76,0,0,0,,,,0,0,,,,,,,0,,
7,Denílson,,br BRA,MF,22-361,14,0,0,0,,,,0,0,,,,,,,0,,
8,Alexandre Song,,cm CMR,"DF,MF",23-156,90,0,0,0,,,,0,0,,,,,,,0,,
9,Gaël Clichy,,fr FRA,DF,25-201,90,0,0,0,,,,0,0,,,,,,,0,,
10,Laurent Koscielny,,fr FRA,DF,25-155,90,0,0,0,,,,0,0,,,,,,,0,,
11,Johan Djourou,,ch SUI,DF,24-025,90,0,0,0,,,,0,0,,,,,,,0,,
12,Bacary Sagna,,fr FRA,DF,27-363,90,0,0,0,,,,0,0,,,,,,,0,,
13,Wojciech Szczęsny,,pl POL,GK,20-300,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,2,2,0,,,,0,0,,,,,,,0,,
