,num,joueur
0,1,David de Gea
1,5,Harry Maguire
2,6,Paul Pogba
3,7,Cristiano Ronaldo
4,10,Marcus Rashford
5,17,Fred
6,19,Raphaël Varane
7,20,Diogo Dalot
8,25,Jadon Sancho
9,27,Alex Telles
10,31,Nemanja Matić
