,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2015-08-08,15:00 ,Premier League,Matchweek 1,Sat,Home,D,2,2,Watford,67,"39,063",Phil Jagielka,4-2-3-1,Mike Jones,https://fbref.com/en/matches/ac0bb534/Everton-Watford-August-8-2015-Premier-League,
1,2015-08-15,12:45 ,Premier League,Matchweek 2,Sat,Away,W,3,0,Southampton,46,"30,966",Phil Jagielka,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/ebdb5a64/Southampton-Everton-August-15-2015-Premier-League,
2,2015-08-23,16:00 ,Premier League,Matchweek 3,Sun,Home,L,0,2,Manchester City,46,"38,523",Phil Jagielka,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/a58f55ee/Everton-Manchester-City-August-23-2015-Premier-League,
4,2015-08-29,17:30 ,Premier League,Matchweek 4,Sat,Away,D,0,0,Tottenham,50,"35,865",Phil Jagielka,4-2-3-1,Mike Jones,https://fbref.com/en/matches/9fef9371/Tottenham-Hotspur-Everton-August-29-2015-Premier-League,
5,2015-09-12,12:45 ,Premier League,Matchweek 5,Sat,Home,W,3,1,Chelsea,39,"38,311",Phil Jagielka,4-3-1-2,Andre Marriner,https://fbref.com/en/matches/4e2b0c5e/Everton-Chelsea-September-12-2015-Premier-League,
6,2015-09-19,15:00 ,Premier League,Matchweek 6,Sat,Away,D,0,0,Swansea City,52,"20,805",Phil Jagielka,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/5c394bdd/Swansea-City-Everton-September-19-2015-Premier-League,
8,2015-09-28,20:00 ,Premier League,Matchweek 7,Mon,Away,W,3,2,West Brom,54,"24,240",Phil Jagielka,4-2-3-1,Robert Madley,https://fbref.com/en/matches/c96d7b63/West-Bromwich-Albion-Everton-September-28-2015-Premier-League,
9,2015-10-04,13:30 ,Premier League,Matchweek 8,Sun,Home,D,1,1,Liverpool,51,"39,598",Phil Jagielka,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/e4976145/Merseyside-Derby-Everton-Liverpool-October-4-2015-Premier-League,
10,2015-10-17,15:00 ,Premier League,Matchweek 9,Sat,Home,L,0,3,Manchester Utd,47,"39,553",Phil Jagielka,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/ffa16d45/Everton-Manchester-United-October-17-2015-Premier-League,
11,2015-10-24,17:30 ,Premier League,Matchweek 10,Sat,Away,L,1,2,Arsenal,44,"59,985",Phil Jagielka,4-2-3-1,Lee Mason,https://fbref.com/en/matches/ada9f753/Arsenal-Everton-October-24-2015-Premier-League,
13,2015-11-01,13:30 ,Premier League,Matchweek 11,Sun,Home,W,6,2,Sunderland,67,"36,617",Gareth Barry,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/5e72b782/Everton-Sunderland-November-1-2015-Premier-League,
14,2015-11-07,15:00 ,Premier League,Matchweek 12,Sat,Away,D,1,1,West Ham,49,"34,977",Gareth Barry,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/178e3379/West-Ham-United-Everton-November-7-2015-Premier-League,
15,2015-11-21,15:00 ,Premier League,Matchweek 13,Sat,Home,W,4,0,Aston Villa,60,"38,424",Gareth Barry,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/47dfdc91/Everton-Aston-Villa-November-21-2015-Premier-League,
16,2015-11-28,15:00 ,Premier League,Matchweek 14,Sat,Away,D,3,3,Bournemouth,43,"11,228",Gareth Barry,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/4612597b/Bournemouth-Everton-November-28-2015-Premier-League,
18,2015-12-07,20:00 ,Premier League,Matchweek 15,Mon,Home,D,1,1,Crystal Palace,62,"35,736",Gareth Barry,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/bffc2b50/Everton-Crystal-Palace-December-7-2015-Premier-League,
19,2015-12-12,12:45 ,Premier League,Matchweek 16,Sat,Away,D,1,1,Norwich City,59,"27,027",Gareth Barry,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/47af8a65/Norwich-City-Everton-December-12-2015-Premier-League,
20,2015-12-19,15:00 ,Premier League,Matchweek 17,Sat,Home,L,2,3,Leicester City,67,"39,570",Gareth Barry,4-3-3,Jonathan Moss,https://fbref.com/en/matches/301aea47/Everton-Leicester-City-December-19-2015-Premier-League,
21,2015-12-26,17:30 ,Premier League,Matchweek 18,Sat,Away,W,1,0,Newcastle Utd,59,"51,682",Gareth Barry,4-3-3,Lee Mason,https://fbref.com/en/matches/41cdb720/Newcastle-United-Everton-December-26-2015-Premier-League,
22,2015-12-28,15:00 ,Premier League,Matchweek 19,Mon,Home,L,3,4,Stoke City,51,"39,340",Gareth Barry,4-3-3,Mark Clattenburg,https://fbref.com/en/matches/889a660d/Everton-Stoke-City-December-28-2015-Premier-League,
23,2016-01-03,16:00 ,Premier League,Matchweek 20,Sun,Home,D,1,1,Tottenham,41,"38,482",Gareth Barry,4-3-3,Michael Oliver,https://fbref.com/en/matches/90ccfe96/Everton-Tottenham-Hotspur-January-3-2016-Premier-League,
26,2016-01-13,19:45 ,Premier League,Matchweek 21,Wed,Away,D,0,0,Manchester City,45,"53,796",Phil Jagielka,4-2-3-1,Roger East,https://fbref.com/en/matches/fd8569cf/Manchester-City-Everton-January-13-2016-Premier-League,
27,2016-01-16,15:00 ,Premier League,Matchweek 22,Sat,Away,D,3,3,Chelsea,45,"41,633",Phil Jagielka,4-2-3-1,Mike Jones,https://fbref.com/en/matches/6de922d4/Chelsea-Everton-January-16-2016-Premier-League,
28,2016-01-24,13:30 ,Premier League,Matchweek 23,Sun,Home,L,1,2,Swansea City,60,"36,908",Gareth Barry,4-3-3,Anthony Taylor,https://fbref.com/en/matches/4310700a/Everton-Swansea-City-January-24-2016-Premier-League,
31,2016-02-03,19:45 ,Premier League,Matchweek 24,Wed,Home,W,3,0,Newcastle Utd,56,"36,061",Phil Jagielka,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/3c1777e3/Everton-Newcastle-United-February-3-2016-Premier-League,
32,2016-02-06,15:00 ,Premier League,Matchweek 25,Sat,Away,W,3,0,Stoke City,35,"27,733",Phil Jagielka,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/65e02142/Stoke-City-Everton-February-6-2016-Premier-League,
33,2016-02-13,15:00 ,Premier League,Matchweek 26,Sat,Home,L,0,1,West Brom,76,"38,103",Phil Jagielka,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/46e6c5e2/Everton-West-Bromwich-Albion-February-13-2016-Premier-League,
35,2016-03-01,19:45 ,Premier League,Matchweek 28,Tue,Away,W,3,1,Aston Villa,53,"29,755",Phil Jagielka,4-2-3-1,Roger East,https://fbref.com/en/matches/6c691212/Aston-Villa-Everton-March-1-2016-Premier-League,
36,2016-03-05,15:00 ,Premier League,Matchweek 29,Sat,Home,L,2,3,West Ham,42,"39,000",Phil Jagielka,3-4-3,Anthony Taylor,https://fbref.com/en/matches/9a744c2b/Everton-West-Ham-United-March-5-2016-Premier-League,
38,2016-03-19,12:45 ,Premier League,Matchweek 31,Sat,Home,L,0,2,Arsenal,54,"39,270",Phil Jagielka,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/265441ef/Everton-Arsenal-March-19-2016-Premier-League,
39,2016-04-03,16:00 ,Premier League,Matchweek 32,Sun,Away,L,0,1,Manchester Utd,46,"75,341",Phil Jagielka,4-4-1-1,Andre Marriner,https://fbref.com/en/matches/68976304/Manchester-United-Everton-April-3-2016-Premier-League,
40,2016-04-09,15:00 ,Premier League,Matchweek 33,Sat,Away,D,1,1,Watford,58,"20,663",Phil Jagielka,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/b23d094c/Watford-Everton-April-9-2016-Premier-League,
41,2016-04-13,20:00 ,Premier League,Matchweek 35,Wed,Away,D,0,0,Crystal Palace,43,"23,528",Gareth Barry,4-2-3-1,Mike Jones,https://fbref.com/en/matches/72538011/Crystal-Palace-Everton-April-13-2016-Premier-League,
42,2016-04-16,15:00 ,Premier League,Matchweek 34,Sat,Home,D,1,1,Southampton,49,"36,761",Leon Osman,4-3-3,Craig Pawson,https://fbref.com/en/matches/609038dc/Everton-Southampton-April-16-2016-Premier-League,
43,2016-04-20,20:00 ,Premier League,Matchweek 27,Wed,Away,L,0,4,Liverpool,33,"43,854",Gareth Barry,4-2-3-1,Robert Madley,https://fbref.com/en/matches/622e5344/Merseyside-Derby-Liverpool-Everton-April-20-2016-Premier-League,
45,2016-04-30,15:00 ,Premier League,Matchweek 36,Sat,Home,W,2,1,Bournemouth,57,"38,345",Tim Howard,4-2-3-1,Niel Swarbrick,https://fbref.com/en/matches/4f898f0c/Everton-Bournemouth-April-30-2016-Premier-League,
46,2016-05-07,17:30 ,Premier League,Matchweek 37,Sat,Away,L,1,3,Leicester City,59,"32,140",Leighton Baines,4-4-2,Andre Marriner,https://fbref.com/en/matches/cfee0621/Leicester-City-Everton-May-7-2016-Premier-League,
47,2016-05-11,19:45 ,Premier League,Matchweek 30,Wed,Away,L,0,3,Sunderland,62,"46,454",Gareth Barry,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/eb00ba4f/Sunderland-Everton-May-11-2016-Premier-League,
48,2016-05-15,15:00 ,Premier League,Matchweek 38,Sun,Home,W,3,0,Norwich City,45,"36,691",Phil Jagielka,4-2-3-1,Lee Mason,https://fbref.com/en/matches/8946cf1d/Everton-Norwich-City-May-15-2016-Premier-League,
