,num,joueur
0,3,Aaron Cresswell
1,5,James Tomkins
2,8,Cheikhou Kouyaté
3,10,Mauro Zárate
4,11,Stewart Downing
5,15,Diafra Sakho
6,16,Mark Noble
7,20,Guy Demel
8,31,Enner Valencia
9,,
10,22,Jussi Jääskeläinen
