,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2012-08-19,,Premier League,Matchweek 1,Sun,Home,L,0,2,Chelsea,,"19,738",,5-4-1,Mike Jones,https://fbref.com/en/matches/7455931a/Wigan-Athletic-Chelsea-August-19-2012-Premier-League,
1,2012-08-25,,Premier League,Matchweek 2,Sat,Away,W,2,0,Southampton,,"29,604",,5-4-1,Anthony Taylor,https://fbref.com/en/matches/144a31e2/Southampton-Wigan-Athletic-August-25-2012-Premier-League,
2,2012-09-01,,Premier League,Matchweek 3,Sat,Home,D,2,2,Stoke City,,"16,247",,5-4-1,Martin Atkinson,https://fbref.com/en/matches/99848535/Wigan-Athletic-Stoke-City-September-1-2012-Premier-League,
3,2012-09-15,,Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester Utd,,"75,142",,3-4-3,Michael Oliver,https://fbref.com/en/matches/9f9e9a4e/Manchester-United-Wigan-Athletic-September-15-2012-Premier-League,
4,2012-09-22,,Premier League,Matchweek 5,Sat,Home,L,1,2,Fulham,,"19,284",,3-4-3,Lee Probert,https://fbref.com/en/matches/7b11947e/Wigan-Athletic-Fulham-September-22-2012-Premier-League,
5,2012-09-29,,Premier League,Matchweek 6,Sat,Away,L,0,1,Sunderland,,"37,742",,3-4-3,Howard Webb,https://fbref.com/en/matches/3a86caae/Sunderland-Wigan-Athletic-September-29-2012-Premier-League,
6,2012-10-06,,Premier League,Matchweek 7,Sat,Home,D,2,2,Everton,,"18,759",,3-4-3,Kevin Friend,https://fbref.com/en/matches/bf73e3f5/Wigan-Athletic-Everton-October-6-2012-Premier-League,
7,2012-10-20,,Premier League,Matchweek 8,Sat,Away,L,1,2,Swansea City,,"19,696",,3-4-3,Mike Jones,https://fbref.com/en/matches/2c7976b3/Swansea-City-Wigan-Athletic-October-20-2012-Premier-League,
8,2012-10-27,,Premier League,Matchweek 9,Sat,Home,W,2,1,West Ham,,"19,090",,3-4-3,Jon Moss,https://fbref.com/en/matches/e68b5bf3/Wigan-Athletic-West-Ham-United-October-27-2012-Premier-League,
9,2012-11-03,,Premier League,Matchweek 10,Sat,Away,W,1,0,Tottenham,,"35,534",,3-4-3,Martin Atkinson,https://fbref.com/en/matches/453fa07b/Tottenham-Hotspur-Wigan-Athletic-November-3-2012-Premier-League,
10,2012-11-10,,Premier League,Matchweek 11,Sat,Home,L,1,2,West Brom,,"17,812",,3-4-3,Neil Swarbrick,https://fbref.com/en/matches/41bfbf12/Wigan-Athletic-West-Bromwich-Albion-November-10-2012-Premier-League,
11,2012-11-17,,Premier League,Matchweek 12,Sat,Away,L,0,3,Liverpool,,"44,913",,3-4-3,Kevin Friend,https://fbref.com/en/matches/156e0fc0/Liverpool-Wigan-Athletic-November-17-2012-Premier-League,
12,2012-11-24,,Premier League,Matchweek 13,Sat,Home,W,3,2,Reading,,"15,436",,3-4-3,Howard Webb,https://fbref.com/en/matches/82541912/Wigan-Athletic-Reading-November-24-2012-Premier-League,
13,2012-11-28,,Premier League,Matchweek 14,Wed,Home,L,0,2,Manchester City,,"19,623",,3-4-3,Mark Halsey,https://fbref.com/en/matches/cc2623e9/Wigan-Athletic-Manchester-City-November-28-2012-Premier-League,
14,2012-12-03,,Premier League,Matchweek 15,Mon,Away,L,0,3,Newcastle Utd,,"43,858",,3-4-3,Mike Jones,https://fbref.com/en/matches/9ff59efd/Newcastle-United-Wigan-Athletic-December-3-2012-Premier-League,
15,2012-12-08,,Premier League,Matchweek 16,Sat,Home,D,2,2,QPR,,"17,163",,3-4-3,Phil Dowd,https://fbref.com/en/matches/e6cef577/Wigan-Athletic-Queens-Park-Rangers-December-8-2012-Premier-League,
16,2012-12-15,,Premier League,Matchweek 17,Sat,Away,L,1,2,Norwich City,,"26,677",,3-4-3,Lee Probert,https://fbref.com/en/matches/25b34975/Norwich-City-Wigan-Athletic-December-15-2012-Premier-League,
17,2012-12-22,,Premier League,Matchweek 18,Sat,Home,L,0,1,Arsenal,,"21,754",,3-4-3,Jon Moss,https://fbref.com/en/matches/476448fe/Wigan-Athletic-Arsenal-December-22-2012-Premier-League,
18,2012-12-26,,Premier League,Matchweek 19,Wed,Away,L,1,2,Everton,,"38,749",,3-4-3,Lee Mason,https://fbref.com/en/matches/497552e7/Everton-Wigan-Athletic-December-26-2012-Premier-League,
19,2012-12-29,,Premier League,Matchweek 20,Sat,Away,W,3,0,Aston Villa,,"33,374",,3-4-3,Kevin Friend,https://fbref.com/en/matches/9e22bd06/Aston-Villa-Wigan-Athletic-December-29-2012-Premier-League,
20,2013-01-01,,Premier League,Matchweek 21,Tue,Home,L,0,4,Manchester Utd,,"20,342",,3-4-3,Andre Marriner,https://fbref.com/en/matches/fe5833ec/Wigan-Athletic-Manchester-United-January-1-2013-Premier-League,
21,2013-01-12,,Premier League,Matchweek 22,Sat,Away,D,1,1,Fulham,,"25,442",,3-5-1-1,Mark Clattenburg,https://fbref.com/en/matches/9319a878/Fulham-Wigan-Athletic-January-12-2013-Premier-League,
22,2013-01-19,,Premier League,Matchweek 23,Sat,Home,L,2,3,Sunderland,,"19,219",,3-4-3,Anthony Taylor,https://fbref.com/en/matches/86ab765e/Wigan-Athletic-Sunderland-January-19-2013-Premier-League,
23,2013-01-29,,Premier League,Matchweek 24,Tue,Away,D,2,2,Stoke City,,"24,421",,3-4-3,Mike Jones,https://fbref.com/en/matches/7263587d/Stoke-City-Wigan-Athletic-January-29-2013-Premier-League,
24,2013-02-02,,Premier League,Matchweek 25,Sat,Home,D,2,2,Southampton,,"18,598",,3-4-3,Andre Marriner,https://fbref.com/en/matches/5bba434e/Wigan-Athletic-Southampton-February-2-2013-Premier-League,
25,2013-02-09,,Premier League,Matchweek 26,Sat,Away,L,1,4,Chelsea,,"41,562",,3-4-3,Mike Dean,https://fbref.com/en/matches/c32992b0/Chelsea-Wigan-Athletic-February-9-2013-Premier-League,
26,2013-02-23,,Premier League,Matchweek 27,Sat,Away,W,3,0,Reading,,"22,321",,3-4-3,Phil Dowd,https://fbref.com/en/matches/04d09b98/Reading-Wigan-Athletic-February-23-2013-Premier-League,
27,2013-03-02,,Premier League,Matchweek 28,Sat,Home,L,0,4,Liverpool,,"20,804",,3-4-3,Martin Atkinson,https://fbref.com/en/matches/614feff6/Wigan-Athletic-Liverpool-March-2-2013-Premier-League,
28,2013-03-17,,Premier League,Matchweek 30,Sun,Home,W,2,1,Newcastle Utd,,"22,297",,3-4-3,Mark Halsey,https://fbref.com/en/matches/e376c117/Wigan-Athletic-Newcastle-United-March-17-2013-Premier-League,
29,2013-03-30,,Premier League,Matchweek 31,Sat,Home,W,1,0,Norwich City,,"17,784",,3-4-3,Howard Webb,https://fbref.com/en/matches/0e3ceb28/Wigan-Athletic-Norwich-City-March-30-2013-Premier-League,
