,team,matchweek,Match Report
0,Arsenal-Stats,Matchweek 10,https://fbref.com/en/matches/3424d0e6/Arsenal-Swansea-City-October-28-2017-Premier-League
1,Arsenal-Stats,Matchweek 11,https://fbref.com/en/matches/03da14dd/Manchester-City-Arsenal-November-5-2017-Premier-League
2,Arsenal-Stats,Matchweek 12,https://fbref.com/en/matches/ae345878/North-London-Derby-Arsenal-Tottenham-Hotspur-November-18-2017-Premier-League
3,Arsenal-Stats,Matchweek 13,https://fbref.com/en/matches/0ad47126/Burnley-Arsenal-November-26-2017-Premier-League
4,Arsenal-Stats,Matchweek 14,https://fbref.com/en/matches/5765760d/Arsenal-Huddersfield-Town-November-29-2017-Premier-League
5,Arsenal-Stats,Matchweek 15,https://fbref.com/en/matches/baa538cc/Arsenal-Manchester-United-December-2-2017-Premier-League
6,Arsenal-Stats,Matchweek 16,https://fbref.com/en/matches/8a233cbd/Southampton-Arsenal-December-10-2017-Premier-League
7,Arsenal-Stats,Matchweek 17,https://fbref.com/en/matches/2f10aa8f/West-Ham-United-Arsenal-December-13-2017-Premier-League
8,West-Ham-United-Stats,Matchweek 2,https://fbref.com/en/matches/4dc6e9ad/Southampton-West-Ham-United-August-19-2017-Premier-League
9,West-Ham-United-Stats,Matchweek 23,https://fbref.com/en/matches/7e7a4e35/Huddersfield-Town-West-Ham-United-January-13-2018-Premier-League
10,Chelsea-Stats,Matchweek 12,https://fbref.com/en/matches/499d50ec/West-Bromwich-Albion-Chelsea-November-18-2017-Premier-League
11,Chelsea-Stats,Matchweek 13,https://fbref.com/en/matches/aa480195/Liverpool-Chelsea-November-25-2017-Premier-League
12,Chelsea-Stats,Matchweek 14,https://fbref.com/en/matches/0d60e1e4/Chelsea-Swansea-City-November-29-2017-Premier-League
13,Chelsea-Stats,Matchweek 15,https://fbref.com/en/matches/66efb2b9/Chelsea-Newcastle-United-December-2-2017-Premier-League
14,Chelsea-Stats,Matchweek 16,https://fbref.com/en/matches/efda9b14/West-Ham-United-Chelsea-December-9-2017-Premier-League
15,Chelsea-Stats,Matchweek 17,https://fbref.com/en/matches/6e0cc46e/Huddersfield-Town-Chelsea-December-12-2017-Premier-League
16,Chelsea-Stats,Matchweek 18,https://fbref.com/en/matches/cd98063b/Chelsea-Southampton-December-16-2017-Premier-League
17,Chelsea-Stats,Matchweek 19,https://fbref.com/en/matches/317b694e/Everton-Chelsea-December-23-2017-Premier-League
18,Chelsea-Stats,Matchweek 20,https://fbref.com/en/matches/d187fd93/Chelsea-Brighton-and-Hove-Albion-December-26-2017-Premier-League
19,Chelsea-Stats,Matchweek 21,https://fbref.com/en/matches/508f7222/Chelsea-Stoke-City-December-30-2017-Premier-League
20,Chelsea-Stats,Matchweek 22,https://fbref.com/en/matches/cea73804/North-West-London-Derby-Arsenal-Chelsea-January-3-2018-Premier-League
21,Chelsea-Stats,Matchweek 23,https://fbref.com/en/matches/57dd6ca8/Chelsea-Leicester-City-January-13-2018-Premier-League
22,Chelsea-Stats,Matchweek 24,https://fbref.com/en/matches/9c2b1d89/Brighton-and-Hove-Albion-Chelsea-January-20-2018-Premier-League
23,Chelsea-Stats,Matchweek 25,https://fbref.com/en/matches/8bffc3ba/Chelsea-Bournemouth-January-31-2018-Premier-League
24,Chelsea-Stats,Matchweek 26,https://fbref.com/en/matches/92aff98f/Watford-Chelsea-February-5-2018-Premier-League
25,Chelsea-Stats,Matchweek 27,https://fbref.com/en/matches/47b76f62/Chelsea-West-Bromwich-Albion-February-12-2018-Premier-League
26,Chelsea-Stats,Matchweek 28,https://fbref.com/en/matches/98517bf6/Manchester-United-Chelsea-February-25-2018-Premier-League
27,Chelsea-Stats,Matchweek 29,https://fbref.com/en/matches/dc8c6aaf/Manchester-City-Chelsea-March-4-2018-Premier-League
28,Chelsea-Stats,Matchweek 30,https://fbref.com/en/matches/15c3f004/Chelsea-Crystal-Palace-March-10-2018-Premier-League
29,Chelsea-Stats,Matchweek 32,https://fbref.com/en/matches/fbe31f74/Chelsea-Tottenham-Hotspur-April-1-2018-Premier-League
30,Chelsea-Stats,Matchweek 33,https://fbref.com/en/matches/b325a378/Chelsea-West-Ham-United-April-8-2018-Premier-League
31,Chelsea-Stats,Matchweek 34,https://fbref.com/en/matches/c0ef52a9/Southampton-Chelsea-April-14-2018-Premier-League
32,Chelsea-Stats,Matchweek 31,https://fbref.com/en/matches/082489f8/Burnley-Chelsea-April-19-2018-Premier-League
33,Chelsea-Stats,Matchweek 36,https://fbref.com/en/matches/d5f17e08/Swansea-City-Chelsea-April-28-2018-Premier-League
34,Chelsea-Stats,Matchweek 37,https://fbref.com/en/matches/b9a7da48/Chelsea-Liverpool-May-6-2018-Premier-League
35,Chelsea-Stats,Matchweek 35,https://fbref.com/en/matches/f0f325a6/Chelsea-Huddersfield-Town-May-9-2018-Premier-League
36,Chelsea-Stats,Matchweek 38,https://fbref.com/en/matches/8bb22e44/Newcastle-United-Chelsea-May-13-2018-Premier-League
37,Stoke-City-Stats,Matchweek 1,https://fbref.com/en/matches/7c834541/Everton-Stoke-City-August-12-2017-Premier-League
38,Stoke-City-Stats,Matchweek 2,https://fbref.com/en/matches/37f97732/Stoke-City-Arsenal-August-19-2017-Premier-League
39,Stoke-City-Stats,Matchweek 3,https://fbref.com/en/matches/abccb71c/West-Bromwich-Albion-Stoke-City-August-27-2017-Premier-League
40,Stoke-City-Stats,Matchweek 4,https://fbref.com/en/matches/06ec2f77/Stoke-City-Manchester-United-September-9-2017-Premier-League
