,num,joueur
0,6,Phil Jagielka
1,10,Gylfi Sigurðsson
2,11,Theo Walcott
3,12,Lucas Digne
4,17,Idrissa Gana Gueye
5,18,Morgan Schneiderlin
6,23,Séamus Coleman
7,29,Dominic Calvert-Lewin
8,30,Richarlison
9,,
10,22,Maarten Stekelenburg
