,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Jonathan Walters,,ie IRL,"FW,MF",27-215,90,0,0,0,,,,0,0,,,,,,,0,,
1,Kenwyne Jones,,tt TRI,FW,26-200,87,1,0,0,,,,0,0,,,,,,,0,,
2,Salif Diao,,sn SEN,MF,34-072,3,0,0,0,,,,0,0,,,,,,,0,,
3,Matthew Etherington,,eng ENG,MF,29-252,72,0,0,0,,,,0,0,,,,,,,0,,
4,Dean Whitehead,,eng ENG,"DF,MF",29-092,18,0,0,0,,,,0,0,,,,,,,0,,
5,Rory Delap,,ie IRL,MF,34-291,74,0,1,0,,,,0,0,,,,,,,0,,
6,Ricardo Fuller,,jm JAM,FW,31-174,16,0,0,0,,,,0,0,,,,,,,0,,
7,Glenn Whelan,,ie IRL,MF,27-100,90,0,0,0,,,,1,0,,,,,,,0,,
8,Jermaine Pennant,,eng ENG,MF,28-098,90,0,0,0,,,,0,0,,,,,,,0,,
9,Marc Wilson,,ie IRL,"DF,MF",23-249,90,0,0,0,,,,1,0,,,,,,,0,,
10,Robert Huth,,de GER,DF,26-248,90,0,0,0,,,,0,0,,,,,,,0,,
11,Ryan Shawcross,,eng ENG,DF,23-201,90,0,0,0,,,,0,0,,,,,,,0,,
12,Andy Wilkinson,,eng ENG,DF,26-260,90,0,0,0,,,,0,0,,,,,,,0,,
13,Asmir Begović,,ba BIH,GK,23-307,90,0,0,0,,,,1,0,,,,,,,0,,
14,14 Players,,,,,990,1,1,0,,,,3,0,,,,,,,0,,
