,num,joueur
0,,Darren Pratley
1,,David N'Gog
2,,Ricardo Gardner
3,,Grétar Steinsson
4,,Chris Eagles
5,,Gary Cahill
6,,Mark Davies
7,,David Wheater
8,,Martin Petrov
9,,
10,,Ádám Bogdán
