,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-14,15:00 ,Premier League,Matchweek 1,Sat,Home,W,3,2,Aston Villa,1.2,1.2,38,"20,051",Tom Cleverley,4-1-4-1,Mike Dean,https://fbref.com/en/matches/814b563c/Watford-Aston-Villa-August-14-2021-Premier-League,
1,2021-08-21,17:30 ,Premier League,Matchweek 2,Sat,Away,L,0,2,Brighton,0.5,1.3,44,"29,485",Tom Cleverley,4-1-4-1,Anthony Taylor,https://fbref.com/en/matches/072af2f8/Brighton-and-Hove-Albion-Watford-August-21-2021-Premier-League,
3,2021-08-29,14:00 ,Premier League,Matchweek 3,Sun,Away,L,0,1,Tottenham,0.8,1.0,43,"57,672",Craig Cathcart,4-1-4-1,Andre Marriner,https://fbref.com/en/matches/3cd9a733/Tottenham-Hotspur-Watford-August-29-2021-Premier-League,
4,2021-09-11,15:00 ,Premier League,Matchweek 4,Sat,Home,L,0,2,Wolves,0.2,2.2,45,"20,019",William Troost-Ekong,4-1-4-1,Peter Bankes,https://fbref.com/en/matches/09db0909/Watford-Wolverhampton-Wanderers-September-11-2021-Premier-League,
5,2021-09-18,15:00 ,Premier League,Matchweek 5,Sat,Away,W,3,1,Norwich City,2.4,1.0,51,"26,649",Tom Cleverley,4-2-3-1,Robert Jones,https://fbref.com/en/matches/835fa19c/Norwich-City-Watford-September-18-2021-Premier-League,
7,2021-09-25,15:00 ,Premier League,Matchweek 6,Sat,Home,D,1,1,Newcastle Utd,0.9,1.9,53,"20,650",Tom Cleverley,4-2-3-1,Jarred Gillett,https://fbref.com/en/matches/70fda3e9/Watford-Newcastle-United-September-25-2021-Premier-League,
8,2021-10-02,15:00 ,Premier League,Matchweek 7,Sat,Away,L,0,1,Leeds United,0.2,1.3,34,"36,261",Ben Foster,4-2-3-1,Simon Hooper,https://fbref.com/en/matches/be9d8a45/Leeds-United-Watford-October-2-2021-Premier-League,
9,2021-10-16,12:30 ,Premier League,Matchweek 8,Sat,Home,L,0,5,Liverpool,0.5,3.3,25,"21,085",Moussa Sissoko,5-4-1,Jonathan Moss,https://fbref.com/en/matches/2ce6d340/Watford-Liverpool-October-16-2021-Premier-League,
10,2021-10-23,15:00 ,Premier League,Matchweek 9,Sat,Away,W,5,2,Everton,3.7,1.5,51,"38,834",Moussa Sissoko,4-1-4-1,Graham Scott,https://fbref.com/en/matches/6985d123/Everton-Watford-October-23-2021-Premier-League,
11,2021-10-30,15:00 ,Premier League,Matchweek 10,Sat,Home,L,0,1,Southampton,1.0,1.8,40,"20,869",Moussa Sissoko,4-4-1-1,Peter Bankes,https://fbref.com/en/matches/e3521093/Watford-Southampton-October-30-2021-Premier-League,
