,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
6,2011-08-13,,Premier League,Matchweek 1,Sat,Home,D,0,0,Aston Villa,,"25,700",,4-4-2,Lee Mason,https://fbref.com/en/matches/3f8d97c0/Fulham-Aston-Villa-August-13-2011-Premier-League,
8,2011-08-21,,Premier League,Matchweek 2,Sun,Away,L,0,2,Wolves,,"22,657",,4-5-1,Mike Dean,https://fbref.com/en/matches/7d39e381/Wolverhampton-Wanderers-Fulham-August-21-2011-Premier-League,
10,2011-08-28,,Premier League,Matchweek 3,Sun,Away,L,1,2,Newcastle Utd,,"42,684",,4-4-2,Kevin Friend,https://fbref.com/en/matches/f2957176/Newcastle-United-Fulham-August-28-2011-Premier-League,
11,2011-09-11,,Premier League,Matchweek 4,Sun,Home,D,1,1,Blackburn,,"24,856",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/3b8a527b/Fulham-Blackburn-Rovers-September-11-2011-Premier-League,
13,2011-09-18,,Premier League,Matchweek 5,Sun,Home,D,2,2,Manchester City,,"24,750",,4-4-2,Mark Clattenburg,https://fbref.com/en/matches/3e783409/Fulham-Manchester-City-September-18-2011-Premier-League,
14,2011-09-24,,Premier League,Matchweek 6,Sat,Away,D,0,0,West Brom,,"23,835",,4-4-2,Stuart Attwell,https://fbref.com/en/matches/672a1e9b/West-Bromwich-Albion-Fulham-September-24-2011-Premier-League,
16,2011-10-02,,Premier League,Matchweek 7,Sun,Home,W,6,0,QPR,,"23,766",,4-4-2,Andre Marriner,https://fbref.com/en/matches/9838dae6/Fulham-Queens-Park-Rangers-October-2-2011-Premier-League,
17,2011-10-15,,Premier League,Matchweek 8,Sat,Away,L,0,2,Stoke City,,"26,890",,4-4-2,Martin Atkinson,https://fbref.com/en/matches/61264176/Stoke-City-Fulham-October-15-2011-Premier-League,
19,2011-10-23,,Premier League,Matchweek 9,Sun,Home,L,1,3,Everton,,"25,646",,4-4-2,Lee Probert,https://fbref.com/en/matches/193f21d4/Fulham-Everton-October-23-2011-Premier-League,
20,2011-10-29,,Premier League,Matchweek 10,Sat,Away,W,2,0,Wigan Athletic,,"15,796",,4-4-2,Mike Jones,https://fbref.com/en/matches/e6c4cea1/Wigan-Athletic-Fulham-October-29-2011-Premier-League,
22,2011-11-06,,Premier League,Matchweek 11,Sun,Home,L,1,3,Tottenham,,"25,698",,4-4-1-1,Peter Walton,https://fbref.com/en/matches/98c2cecf/Fulham-Tottenham-Hotspur-November-6-2011-Premier-League,
23,2011-11-19,,Premier League,Matchweek 12,Sat,Away,D,0,0,Sunderland,,"37,688",,4-4-2,Anthony Taylor,https://fbref.com/en/matches/d42c43f9/Sunderland-Fulham-November-19-2011-Premier-League,
24,2011-11-26,,Premier League,Matchweek 13,Sat,Away,D,1,1,Arsenal,,"60,043",,4-4-1-1,Mike Dean,https://fbref.com/en/matches/cc96171a/Arsenal-Fulham-November-26-2011-Premier-League,
26,2011-12-05,,Premier League,Matchweek 14,Mon,Home,W,1,0,Liverpool,,"25,688",,4-4-1-1,Kevin Friend,https://fbref.com/en/matches/73014eb9/Fulham-Liverpool-December-5-2011-Premier-League,
27,2011-12-10,,Premier League,Matchweek 15,Sat,Away,L,0,2,Swansea City,,"19,296",,4-4-1-1,Jon Moss,https://fbref.com/en/matches/956f05a5/Swansea-City-Fulham-December-10-2011-Premier-League,
29,2011-12-17,,Premier League,Matchweek 16,Sat,Home,W,2,0,Bolton,,"25,643",,4-4-2,Chris Foy,https://fbref.com/en/matches/e5fa3ba7/Fulham-Bolton-Wanderers-December-17-2011-Premier-League,
30,2011-12-21,,Premier League,Matchweek 17,Wed,Home,L,0,5,Manchester Utd,,"25,700",,4-4-1-1,Mark Halsey,https://fbref.com/en/matches/39fc0ba0/Fulham-Manchester-United-December-21-2011-Premier-League,
