,num,joueur
0,,Shay Given
1,,Carlos Cuéllar
2,,Chris Herd
3,,Charles N'Zogbia
4,,Andreas Weimann
5,,Eric Lichaj
6,,Nathan Baker
7,,Marc Albrighton
8,,Stephen Ireland
9,,James Collins
10,,Gabriel Agbonlahor
