,num,joueur
0,3,Danny Rose
1,4,Toby Alderweireld
2,5,Jan Vertonghen
3,7,Son Heung-min
4,10,Harry Kane
5,12,Victor Wanyama
6,19,Mousa Dembélé
7,20,Dele Alli
8,23,Christian Eriksen
9,,
10,13,Michel Vorm
