,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,John Carew,,no NOR,FW,30-343,90,0,0,0,,,,0,0,,,,,,,0,,
1,Stewart Downing,,eng ENG,"FW,MF",26-023,90,1,0,0,,,,0,0,,,,,,,0,,
2,Marc Albrighton,,eng ENG,"DF,FW",20-269,88,0,1,0,,,,1,0,,,,,,,0,,
3,Barry Bannan,,sct SCO,MF,20-256,2,0,0,0,,,,0,0,,,,,,,0,,
4,Stiliyan Petrov,,bg BUL,MF,31-040,90,1,0,0,,,,0,0,,,,,,,0,,
5,Ashley Young,,eng ENG,"DF,FW",25-036,85,0,1,0,,,,0,0,,,,,,,0,,
6,Andreas Weimann,,at AUT,"FW,MF",19-009,5,0,0,0,,,,0,0,,,,,,,0,,
7,James Milner,,eng ENG,"DF,MF",24-222,84,1,0,0,,,,0,0,,,,,,,0,,
8,Nigel Reo-Coker,,eng ENG,MF,26-092,6,0,0,0,,,,0,0,,,,,,,0,,
9,Stephen Warnock,,eng ENG,DF,28-245,90,0,0,0,,,,0,0,,,,,,,0,,
10,Ciaran Clark,,ie IRL,"DF,MF",20-322,90,0,0,0,,,,0,0,,,,,,,0,,
11,Richard Dunne,,ie IRL,DF,30-327,90,0,0,0,,,,0,0,,,,,,,0,,
12,Luke Young,,eng ENG,DF,31-026,90,0,0,0,,,,0,0,,,,,,,0,,
13,Brad Friedel,,us USA,GK,39-088,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,3,2,0,,,,1,0,,,,,,,0,,
