,num,joueur
0,,Shay Given
1,,Stephen Ireland
2,,Darren Bent
3,,Robbie Keane
4,,Stephen Warnock
5,,Richard Dunne
6,,Alan Hutton
7,,Stiliyan Petrov
8,,Charles N'Zogbia
9,,Ciaran Clark
10,,Carlos Cuéllar
