,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Nicolas Anelka,,fr FRA,FW,31-216,90,0,0,0,,,,0,0,,,,,,,0,,
1,Florent Malouda,,fr FRA,"FW,MF",30-125,90,0,0,0,,,,0,0,,,,,,,0,,
2,Gaël Kakuta,,cd COD,"FW,MF",19-117,45,0,0,0,,,,0,0,,,,,,,0,,
3,Yuri Zhirkov,,ru RUS,"DF,MF",27-057,45,0,0,0,,,,0,0,,,,,,,0,,
4,Ramires,,br BRA,MF,23-206,75,0,0,0,,,,0,0,,,,,,,0,,
5,Josh McEachran,,eng ENG,MF,17-229,15,0,0,0,,,,1,0,,,,,,,0,,
6,John Obi Mikel,,ng NGA,MF,23-177,90,0,0,0,,,,0,0,,,,,,,0,,
7,Michael Essien,,gh GHA,"DF,MF",27-317,90,0,0,0,,,,1,0,,,,,,,0,,
8,Ashley Cole,,eng ENG,DF,29-300,90,0,0,0,,,,0,0,,,,,,,0,,
9,John Terry,,eng ENG,DF,29-313,90,0,0,0,,,,1,0,,,,,,,0,,
10,Branislav Ivanović,,rs SRB,DF,26-236,90,0,0,0,,,,0,0,,,,,,,0,,
11,Paulo Ferreira,,pt POR,DF,31-271,74,0,0,0,,,,0,0,,,,,,,0,,
12,José Bosingwa,,pt POR,DF,28-053,16,0,0,0,,,,0,0,,,,,,,0,,
13,Petr Čech,,cz CZE,GK,28-149,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,0,0,0,,,,3,0,,,,,,,0,,
