,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2016-08-13,12:30 ,Premier League,Matchweek 1,Sat,Home,W,2,1,Leicester City,50,"21,037",Curtis Davies,4-3-3,Mike Dean,https://fbref.com/en/matches/78c3fc92/Hull-City-Leicester-City-August-13-2016-Premier-League,
1,2016-08-20,15:00 ,Premier League,Matchweek 2,Sat,Away,W,2,0,Swansea City,43,"20,024",Curtis Davies,4-3-3,Stuart Attwell,https://fbref.com/en/matches/2d418d07/Swansea-City-Hull-City-August-20-2016-Premier-League,
3,2016-08-27,17:30 ,Premier League,Matchweek 3,Sat,Home,L,0,1,Manchester Utd,38,"24,560",David Meyler,4-3-3,Jonathan Moss,https://fbref.com/en/matches/a9c4fc8a/Hull-City-Manchester-United-August-27-2016-Premier-League,
4,2016-09-10,15:00 ,Premier League,Matchweek 4,Sat,Away,D,1,1,Burnley,61,"18,803",Curtis Davies,4-1-4-1,Paul Tierney,https://fbref.com/en/matches/d4897924/Burnley-Hull-City-September-10-2016-Premier-League,
5,2016-09-17,15:00 ,Premier League,Matchweek 5,Sat,Home,L,1,4,Arsenal,39,"22,536",Curtis Davies,4-3-3,Roger East,https://fbref.com/en/matches/f2805e6a/Hull-City-Arsenal-September-17-2016-Premier-League,
7,2016-09-24,15:00 ,Premier League,Matchweek 6,Sat,Away,L,1,5,Liverpool,26,"53,109",Curtis Davies,4-5-1,Andre Marriner,https://fbref.com/en/matches/0f9dbd65/Liverpool-Hull-City-September-24-2016-Premier-League,
8,2016-10-01,15:00 ,Premier League,Matchweek 7,Sat,Home,L,0,2,Chelsea,41,"21,257",Curtis Davies,4-5-1,Anthony Taylor,https://fbref.com/en/matches/7fd22ed1/Hull-City-Chelsea-October-1-2016-Premier-League,
9,2016-10-15,15:00 ,Premier League,Matchweek 8,Sat,Away,L,1,6,Bournemouth,51,"11,029",Curtis Davies,4-3-2-1,Lee Mason,https://fbref.com/en/matches/51439d43/Bournemouth-Hull-City-October-15-2016-Premier-League,
10,2016-10-22,15:00 ,Premier League,Matchweek 9,Sat,Home,L,0,2,Stoke City,49,"18,522",Michael Dawson,4-1-4-1,Kevin Friend,https://fbref.com/en/matches/9e183bf4/Hull-City-Stoke-City-October-22-2016-Premier-League,
12,2016-10-29,15:00 ,Premier League,Matchweek 10,Sat,Away,L,0,1,Watford,46,"20,022",Michael Dawson,3-5-2,Jonathan Moss,https://fbref.com/en/matches/44c02266/Watford-Hull-City-October-29-2016-Premier-League,
