,equipe,lien
0,Manchester-United-Stats,https://fbref.com/en/squads/19538871/2010-2011/Manchester-United-Stats
1,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/2010-2011/Chelsea-Stats
2,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/2010-2011/Manchester-City-Stats
3,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/2010-2011/Arsenal-Stats
4,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/2010-2011/Tottenham-Hotspur-Stats
5,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/2010-2011/Liverpool-Stats
6,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/2010-2011/Everton-Stats
7,Fulham-Stats,https://fbref.com/en/squads/fd962109/2010-2011/Fulham-Stats
8,Aston-Villa-Stats,https://fbref.com/en/squads/8602292d/2010-2011/Aston-Villa-Stats
9,Sunderland-Stats,https://fbref.com/en/squads/8ef52968/2010-2011/Sunderland-Stats
10,West-Bromwich-Albion-Stats,https://fbref.com/en/squads/60c6b05f/2010-2011/West-Bromwich-Albion-Stats
11,Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/2010-2011/Newcastle-United-Stats
12,Stoke-City-Stats,https://fbref.com/en/squads/17892952/2010-2011/Stoke-City-Stats
13,Bolton-Wanderers-Stats,https://fbref.com/en/squads/445d3104/2010-2011/Bolton-Wanderers-Stats
14,Blackburn-Rovers-Stats,https://fbref.com/en/squads/e090f40b/2010-2011/Blackburn-Rovers-Stats
15,Wigan-Athletic-Stats,https://fbref.com/en/squads/e59ddc76/2010-2011/Wigan-Athletic-Stats
16,Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/8cec06e1/2010-2011/Wolverhampton-Wanderers-Stats
17,Birmingham-City-Stats,https://fbref.com/en/squads/ec79b7c2/2010-2011/Birmingham-City-Stats
18,Blackpool-Stats,https://fbref.com/en/squads/7cbf5cb4/2010-2011/Blackpool-Stats
19,West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/2010-2011/West-Ham-United-Stats
