,num,joueur
0,,Ben Foster
1,,Roger Johnson
2,,Stephen Carr
3,,Keith Fahey
4,,David Murphy
5,,Liam Ridgewell
6,,Barry Ferguson
7,,Alexander Hleb
8,,Matt Derbyshire
9,,Craig Gardner
10,,David Bentley
