,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2017-08-12,15:00 ,Premier League,Matchweek 1,Sat,Home,W,1,0,Bournemouth,1.3,0.5,31,"25,011",Jake Livermore,4-1-4-1,Robert Madley,https://fbref.com/en/matches/684f704a/West-Bromwich-Albion-Bournemouth-August-12-2017-Premier-League,
1,2017-08-19,15:00 ,Premier League,Matchweek 2,Sat,Away,W,1,0,Burnley,0.9,1.3,34,"19,619",Jake Livermore,4-1-4-1,Martin Atkinson,https://fbref.com/en/matches/e868e7b5/Burnley-West-Bromwich-Albion-August-19-2017-Premier-League,
3,2017-08-27,13:30 ,Premier League,Matchweek 3,Sun,Home,D,1,1,Stoke City,0.8,1.3,43,"22,704",Jake Livermore,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/abccb71c/West-Bromwich-Albion-Stoke-City-August-27-2017-Premier-League,
4,2017-09-09,15:00 ,Premier League,Matchweek 4,Sat,Away,L,1,3,Brighton,1.0,0.4,52,"30,381",Jonny Evans,4-1-4-1,Chris Kavanagh,https://fbref.com/en/matches/b81fcf8d/Brighton-and-Hove-Albion-West-Bromwich-Albion-September-9-2017-Premier-League,
5,2017-09-16,15:00 ,Premier League,Matchweek 5,Sat,Home,D,0,0,West Ham,0.7,0.3,37,"24,942",Jonny Evans,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/e0e9e784/West-Bromwich-Albion-West-Ham-United-September-16-2017-Premier-League,
7,2017-09-25,20:00 ,Premier League,Matchweek 6,Mon,Away,L,0,2,Arsenal,0.9,2.2,31,"59,134",Gareth Barry,3-5-2,Robert Madley,https://fbref.com/en/matches/b46b6153/Arsenal-West-Bromwich-Albion-September-25-2017-Premier-League,
8,2017-09-30,15:00 ,Premier League,Matchweek 7,Sat,Home,D,2,2,Watford,1.9,1.4,35,"24,606",Jonny Evans,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/d96be99d/West-Bromwich-Albion-Watford-September-30-2017-Premier-League,
9,2017-10-16,20:00 ,Premier League,Matchweek 8,Mon,Away,D,1,1,Leicester City,0.2,1.3,43,"30,203",Jonny Evans,4-3-3,Mike Dean,https://fbref.com/en/matches/199aafa3/Leicester-City-West-Bromwich-Albion-October-16-2017-Premier-League,
10,2017-10-21,17:30 ,Premier League,Matchweek 9,Sat,Away,L,0,1,Southampton,0.4,2.0,35,"29,947",Jonny Evans,4-5-1,Graham Scott,https://fbref.com/en/matches/424a0e74/Southampton-West-Bromwich-Albion-October-21-2017-Premier-League,
11,2017-10-28,15:00 ,Premier League,Matchweek 10,Sat,Home,L,2,3,Manchester City,1.5,2.3,23,"24,003",Jonny Evans,3-5-2,Mike Jones,https://fbref.com/en/matches/fdbbce69/West-Bromwich-Albion-Manchester-City-October-28-2017-Premier-League,
12,2017-11-04,15:00 ,Premier League,Matchweek 11,Sat,Away,L,0,1,Huddersfield,0.4,0.3,50,"24,169",Jonny Evans,3-5-2,Roger East,https://fbref.com/en/matches/b2cc19bf/Huddersfield-Town-West-Bromwich-Albion-November-4-2017-Premier-League,
13,2017-11-18,15:00 ,Premier League,Matchweek 12,Sat,Home,L,0,4,Chelsea,0.8,1.6,39,"23,592",Jonny Evans,3-5-2,Jonathan Moss,https://fbref.com/en/matches/499d50ec/West-Bromwich-Albion-Chelsea-November-18-2017-Premier-League,
14,2017-11-25,15:00 ,Premier League,Matchweek 13,Sat,Away,D,1,1,Tottenham,0.7,1.8,28,"65,905",Jonny Evans,3-5-2,Mike Jones,https://fbref.com/en/matches/0ea2d13d/Tottenham-Hotspur-West-Bromwich-Albion-November-25-2017-Premier-League,
15,2017-11-28,20:00 ,Premier League,Matchweek 14,Tue,Home,D,2,2,Newcastle Utd,1.5,0.9,48,"25,534",Jonny Evans,3-5-2,Lee Probert,https://fbref.com/en/matches/c9a6291f/West-Bromwich-Albion-Newcastle-United-November-28-2017-Premier-League,
16,2017-12-02,15:00 ,Premier League,Matchweek 15,Sat,Home,D,0,0,Crystal Palace,1.9,0.6,51,"23,531",Jonny Evans,4-3-3,Michael Oliver,https://fbref.com/en/matches/4a14eedc/West-Bromwich-Albion-Crystal-Palace-December-2-2017-Premier-League,
17,2017-12-09,15:00 ,Premier League,Matchweek 16,Sat,Away,L,0,1,Swansea City,0.3,1.5,46,"19,580",Jonny Evans,4-4-2,Mike Dean,https://fbref.com/en/matches/dbcf5536/Swansea-City-West-Bromwich-Albion-December-9-2017-Premier-League,
18,2017-12-13,20:00 ,Premier League,Matchweek 17,Wed,Away,D,0,0,Liverpool,0.4,2.1,30,"53,243",Jonny Evans,4-5-1,Paul Tierney,https://fbref.com/en/matches/1b7ef0bf/Liverpool-West-Bromwich-Albion-December-13-2017-Premier-League,
19,2017-12-17,14:15 ,Premier League,Matchweek 18,Sun,Home,L,1,2,Manchester Utd,1.1,0.7,44,"24,782",Jonny Evans,4-3-3,Anthony Taylor,https://fbref.com/en/matches/097569a9/West-Bromwich-Albion-Manchester-United-December-17-2017-Premier-League,
20,2017-12-23,15:00 ,Premier League,Matchweek 19,Sat,Away,L,1,3,Stoke City,2.0,1.4,57,"29,057",Jonny Evans,4-4-2,Niel Swarbrick,https://fbref.com/en/matches/07776252/Stoke-City-West-Bromwich-Albion-December-23-2017-Premier-League,
