,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2018-08-12,13:30 ,Premier League,Matchweek 1,Sun,Home,D,0,0,Burnley,1.1,1.4,48,"30,784",Ryan Bertrand,3-4-3,Graham Scott,https://fbref.com/en/matches/aadb88b9/Southampton-Burnley-August-12-2018-Premier-League,
1,2018-08-18,15:00 ,Premier League,Matchweek 2,Sat,Away,L,1,2,Everton,1.7,1.5,43,"38,601",Ryan Bertrand,4-4-2,Lee Mason,https://fbref.com/en/matches/7b877ffd/Everton-Southampton-August-18-2018-Premier-League,
2,2018-08-25,15:00 ,Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,0.5,0.6,52,"29,925",Ryan Bertrand,4-4-2,Jonathan Moss,https://fbref.com/en/matches/4e5f55cb/Southampton-Leicester-City-August-25-2018-Premier-League,
4,2018-09-01,15:00 ,Premier League,Matchweek 4,Sat,Away,W,2,0,Crystal Palace,2.7,2.4,50,"25,495",Ryan Bertrand,4-4-2,Martin Atkinson,https://fbref.com/en/matches/2909fa0b/Crystal-Palace-Southampton-September-1-2018-Premier-League,
5,2018-09-17,20:00 ,Premier League,Matchweek 5,Mon,Home,D,2,2,Brighton,2.0,1.4,51,"28,811",Ryan Bertrand,4-4-2,Anthony Taylor,https://fbref.com/en/matches/7f31aba2/Southampton-Brighton-and-Hove-Albion-September-17-2018-Premier-League,
6,2018-09-22,15:00 ,Premier League,Matchweek 6,Sat,Away,L,0,3,Liverpool,0.3,1.7,39,"50,965",Ryan Bertrand,4-1-4-1,Paul Tierney,https://fbref.com/en/matches/65050401/Liverpool-Southampton-September-22-2018-Premier-League,
7,2018-09-29,15:00 ,Premier League,Matchweek 7,Sat,Away,L,0,2,Wolves,0.8,1.6,51,"31,147",Ryan Bertrand,4-4-2,Stuart Attwell,https://fbref.com/en/matches/85cb9e4e/Wolverhampton-Wanderers-Southampton-September-29-2018-Premier-League,
9,2018-10-07,14:15 ,Premier League,Matchweek 8,Sun,Home,L,0,3,Chelsea,1.6,2.9,35,"27,077",Ryan Bertrand,3-4-3,Craig Pawson,https://fbref.com/en/matches/afea8fbd/Southampton-Chelsea-October-7-2018-Premier-League,
10,2018-10-20,15:00 ,Premier League,Matchweek 9,Sat,Away,D,0,0,Bournemouth,0.5,0.9,42,"10,986",Ryan Bertrand,4-4-2,Lee Probert,https://fbref.com/en/matches/1027bc75/Bournemouth-Southampton-October-20-2018-Premier-League,
11,2018-10-27,15:00 ,Premier League,Matchweek 10,Sat,Home,D,0,0,Newcastle Utd,1.1,0.4,50,"30,736",Ryan Bertrand,4-4-2,Chris Kavanagh,https://fbref.com/en/matches/4e9ca23b/Southampton-Newcastle-United-October-27-2018-Premier-League,
