,equipe,lien
0,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
1,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
2,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
3,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats
4,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats
5,Manchester-United-Stats,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats
6,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats
7,Southampton-Stats,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats
8,Bournemouth-Stats,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
9,West-Bromwich-Albion-Stats,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats
10,West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats
11,Leicester-City-Stats,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
12,Stoke-City-Stats,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats
13,Crystal-Palace-Stats,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
14,Swansea-City-Stats,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats
15,Burnley-Stats,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats
16,Watford-Stats,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats
17,Hull-City-Stats,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats
18,Middlesbrough-Stats,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
19,Sunderland-Stats,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats
