,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
1,2015-08-09,13:30 ,Premier League,Matchweek 1,Sun,Home,L,0,2,West Ham,62,"59,996",Per Mertesacker,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/71fb3701/Arsenal-West-Ham-United-August-9-2015-Premier-League,
2,2015-08-16,13:30 ,Premier League,Matchweek 2,Sun,Away,W,2,1,Crystal Palace,59,"24,732",Per Mertesacker,4-2-3-1,Lee Mason,https://fbref.com/en/matches/a64b94e8/Crystal-Palace-Arsenal-August-16-2015-Premier-League,
3,2015-08-24,20:00 ,Premier League,Matchweek 3,Mon,Home,D,0,0,Liverpool,66,"60,080",Santi Cazorla,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/663904f2/Arsenal-Liverpool-August-24-2015-Premier-League,
4,2015-08-29,12:45 ,Premier League,Matchweek 4,Sat,Away,W,1,0,Newcastle Utd,74,"50,388",Santi Cazorla,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/833982d1/Newcastle-United-Arsenal-August-29-2015-Premier-League,
5,2015-09-12,15:00 ,Premier League,Matchweek 5,Sat,Home,W,2,0,Stoke City,68,"59,963",Santi Cazorla,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/886b884e/Arsenal-Stoke-City-September-12-2015-Premier-League,
7,2015-09-19,12:45 ,Premier League,Matchweek 6,Sat,Away,L,0,2,Chelsea,37,"41,584",Santi Cazorla,4-2-3-1,Mike Dean,https://fbref.com/en/matches/66a9fa0a/North-West-London-Derby-Chelsea-Arsenal-September-19-2015-Premier-League,
9,2015-09-26,15:00 ,Premier League,Matchweek 7,Sat,Away,W,5,2,Leicester City,58,"32,047",Per Mertesacker,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/69e04a8b/Leicester-City-Arsenal-September-26-2015-Premier-League,
11,2015-10-04,16:00 ,Premier League,Matchweek 8,Sun,Home,W,3,0,Manchester Utd,38,"60,084",Per Mertesacker,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/70bb5008/Arsenal-Manchester-United-October-4-2015-Premier-League,
12,2015-10-17,17:30 ,Premier League,Matchweek 9,Sat,Away,W,3,0,Watford,67,"20,721",Per Mertesacker,4-2-3-1,Mike Jones,https://fbref.com/en/matches/483b03ee/Watford-Arsenal-October-17-2015-Premier-League,
14,2015-10-24,17:30 ,Premier League,Matchweek 10,Sat,Home,W,2,1,Everton,56,"59,985",Santi Cazorla,4-2-3-1,Lee Mason,https://fbref.com/en/matches/ada9f753/Arsenal-Everton-October-24-2015-Premier-League,
16,2015-10-31,15:00 ,Premier League,Matchweek 11,Sat,Away,W,3,0,Swansea City,46,"20,937",Per Mertesacker,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/a5173d30/Swansea-City-Arsenal-October-31-2015-Premier-League,
18,2015-11-08,16:00 ,Premier League,Matchweek 12,Sun,Home,D,1,1,Tottenham,55,"60,060",Per Mertesacker,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/a933a6f4/North-London-Derby-Arsenal-Tottenham-Hotspur-November-8-2015-Premier-League,
19,2015-11-21,15:00 ,Premier League,Matchweek 13,Sat,Away,L,1,2,West Brom,73,"24,343",Per Mertesacker,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/7fdd5f7e/West-Bromwich-Albion-Arsenal-November-21-2015-Premier-League,
21,2015-11-29,16:15 ,Premier League,Matchweek 14,Sun,Away,D,1,1,Norwich City,63,"27,091",Per Mertesacker,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/c405d35a/Norwich-City-Arsenal-November-29-2015-Premier-League,
22,2015-12-05,15:00 ,Premier League,Matchweek 15,Sat,Home,W,3,1,Sunderland,73,"59,937",Per Mertesacker,4-2-3-1,Robert Madley,https://fbref.com/en/matches/203cc04b/Arsenal-Sunderland-December-5-2015-Premier-League,
24,2015-12-13,13:30 ,Premier League,Matchweek 16,Sun,Away,W,2,0,Aston Villa,54,"33,285",Per Mertesacker,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/94c9acf6/Aston-Villa-Arsenal-December-13-2015-Premier-League,
25,2015-12-21,20:00 ,Premier League,Matchweek 17,Mon,Home,W,2,1,Manchester City,37,"60,053",Per Mertesacker,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/872b392d/Arsenal-Manchester-City-December-21-2015-Premier-League,
26,2015-12-26,19:45 ,Premier League,Matchweek 18,Sat,Away,L,0,4,Southampton,65,"31,669",Per Mertesacker,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/286d0196/Southampton-Arsenal-December-26-2015-Premier-League,
27,2015-12-28,17:30 ,Premier League,Matchweek 19,Mon,Home,W,2,0,Bournemouth,51,"59,983",Per Mertesacker,4-2-3-1,Roger East,https://fbref.com/en/matches/d953d0bd/Arsenal-Bournemouth-December-28-2015-Premier-League,
28,2016-01-02,15:00 ,Premier League,Matchweek 20,Sat,Home,W,1,0,Newcastle Utd,51,"59,257",Per Mertesacker,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/994b8926/Arsenal-Newcastle-United-January-2-2016-Premier-League,
30,2016-01-13,20:00 ,Premier League,Matchweek 21,Wed,Away,D,3,3,Liverpool,41,"44,109",Per Mertesacker,4-2-3-1,Mike Jones,https://fbref.com/en/matches/ec3591d1/Liverpool-Arsenal-January-13-2016-Premier-League,
