,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Dimitar Berbatov,,bg BUL,FW,29-287,72,0,0,0,,,,0,0,,,,,,,0,,
1,Gabriel Obertan,,fr FRA,"FW,MF",21-260,18,0,0,0,,,,0,0,,,,,,,0,,
2,Javier Hernández,,mx MEX,FW,22-165,72,0,0,0,,,,1,0,,,,,,,0,,
3,Federico Macheda,,it ITA,FW,19-083,18,1,0,0,,,,0,0,,,,,,,0,,
4,Park Ji-sung,,kr KOR,MF,29-261,85,0,0,0,,,,0,0,,,,,,,0,,
5,Chris Smalling,,eng ENG,DF,20-356,5,0,0,0,,,,0,0,,,,,,,0,,
6,Darren Fletcher,,sct SCO,MF,26-285,90,0,1,0,,,,0,0,,,,,,,0,,
7,Michael Carrick,,eng ENG,MF,29-108,90,0,0,0,,,,0,0,,,,,,,0,,
8,Nani,,pt POR,"FW,MF",23-361,90,0,1,0,,,,1,0,,,,,,,0,,
9,Patrice Evra,,fr FRA,DF,29-182,90,0,0,0,,,,0,0,,,,,,,0,,
10,Nemanja Vidić,,rs SRB,DF,29-023,90,1,0,0,,,,1,0,,,,,,,0,,
11,Rio Ferdinand,,eng ENG,DF,32-006,90,0,0,0,,,,0,0,,,,,,,0,,
12,Wes Brown,,eng ENG,DF,31-031,90,0,0,0,,,,1,0,,,,,,,0,,
13,Edwin van der Sar,,nl NED,GK,40-015,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,2,2,0,,,,4,0,,,,,,,0,,
