,equipe,lien
0,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/2011-2012/Manchester-City-Stats
1,Manchester-United-Stats,https://fbref.com/en/squads/19538871/2011-2012/Manchester-United-Stats
2,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/2011-2012/Arsenal-Stats
3,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/2011-2012/Tottenham-Hotspur-Stats
4,Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/2011-2012/Newcastle-United-Stats
5,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/2011-2012/Chelsea-Stats
6,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/2011-2012/Everton-Stats
7,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/2011-2012/Liverpool-Stats
8,Fulham-Stats,https://fbref.com/en/squads/fd962109/2011-2012/Fulham-Stats
9,West-Bromwich-Albion-Stats,https://fbref.com/en/squads/60c6b05f/2011-2012/West-Bromwich-Albion-Stats
10,Swansea-City-Stats,https://fbref.com/en/squads/fb10988f/2011-2012/Swansea-City-Stats
11,Norwich-City-Stats,https://fbref.com/en/squads/1c781004/2011-2012/Norwich-City-Stats
12,Sunderland-Stats,https://fbref.com/en/squads/8ef52968/2011-2012/Sunderland-Stats
13,Stoke-City-Stats,https://fbref.com/en/squads/17892952/2011-2012/Stoke-City-Stats
14,Wigan-Athletic-Stats,https://fbref.com/en/squads/e59ddc76/2011-2012/Wigan-Athletic-Stats
15,Aston-Villa-Stats,https://fbref.com/en/squads/8602292d/2011-2012/Aston-Villa-Stats
16,Queens-Park-Rangers-Stats,https://fbref.com/en/squads/a757999c/2011-2012/Queens-Park-Rangers-Stats
17,Bolton-Wanderers-Stats,https://fbref.com/en/squads/445d3104/2011-2012/Bolton-Wanderers-Stats
18,Blackburn-Rovers-Stats,https://fbref.com/en/squads/e090f40b/2011-2012/Blackburn-Rovers-Stats
19,Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/8cec06e1/2011-2012/Wolverhampton-Wanderers-Stats
