,equipe,lien
0,Manchester-United-Stats,https://fbref.com/en/squads/19538871/2012-2013/Manchester-United-Stats
1,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/2012-2013/Manchester-City-Stats
2,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/2012-2013/Chelsea-Stats
3,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/2012-2013/Arsenal-Stats
4,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/2012-2013/Tottenham-Hotspur-Stats
5,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/2012-2013/Everton-Stats
6,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/2012-2013/Liverpool-Stats
7,West-Bromwich-Albion-Stats,https://fbref.com/en/squads/60c6b05f/2012-2013/West-Bromwich-Albion-Stats
8,Swansea-City-Stats,https://fbref.com/en/squads/fb10988f/2012-2013/Swansea-City-Stats
9,West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/2012-2013/West-Ham-United-Stats
10,Norwich-City-Stats,https://fbref.com/en/squads/1c781004/2012-2013/Norwich-City-Stats
11,Fulham-Stats,https://fbref.com/en/squads/fd962109/2012-2013/Fulham-Stats
12,Stoke-City-Stats,https://fbref.com/en/squads/17892952/2012-2013/Stoke-City-Stats
13,Southampton-Stats,https://fbref.com/en/squads/33c895d4/2012-2013/Southampton-Stats
14,Aston-Villa-Stats,https://fbref.com/en/squads/8602292d/2012-2013/Aston-Villa-Stats
15,Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/2012-2013/Newcastle-United-Stats
16,Sunderland-Stats,https://fbref.com/en/squads/8ef52968/2012-2013/Sunderland-Stats
17,Wigan-Athletic-Stats,https://fbref.com/en/squads/e59ddc76/2012-2013/Wigan-Athletic-Stats
18,Reading-Stats,https://fbref.com/en/squads/b0ac61ff/2012-2013/Reading-Stats
19,Queens-Park-Rangers-Stats,https://fbref.com/en/squads/a757999c/2012-2013/Queens-Park-Rangers-Stats
