,num,joueur
0,,Ádám Bogdán
1,,David N'Gog
2,,Chris Eagles
3,,Dedryck Boyata
4,,Sam Ricketts
5,,Kevin Davies
6,,David Wheater
7,,Tim Ream
8,,Nigel Reo-Coker
9,,Martin Petrov
10,,Mark Davies
