,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-07,14:00 ,Premier League,Matchweek 1,Sun,Home,D,2,2,Brentford,0.6,0.8,56,"31,794",Jonny Evans,3-5-1-1,Jarred Gillett,https://fbref.com/en/matches/3249ba27/Leicester-City-Brentford-August-7-2022-Premier-League,
1,2022-08-13,15:00 ,Premier League,Matchweek 2,Sat,Away,L,2,4,Arsenal,0.5,2.7,50,"60,033",Jonny Evans,3-5-1-1,Darren England,https://fbref.com/en/matches/7483b97f/Arsenal-Leicester-City-August-13-2022-Premier-League,
2,2022-08-20,15:00 ,Premier League,Matchweek 3,Sat,Home,L,1,2,Southampton,0.3,0.9,62,"30,850",Jonny Evans,4-1-4-1,Michael Salisbury,https://fbref.com/en/matches/02efd4d1/Leicester-City-Southampton-August-20-2022-Premier-League,
4,2022-08-27,15:00 ,Premier League,Matchweek 4,Sat,Away,L,1,2,Chelsea,2.5,1.8,55,"39,953",Jonny Evans,4-1-4-1,Paul Tierney,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,
5,2022-09-01,20:00 ,Premier League,Matchweek 5,Thu,Home,L,0,1,Manchester Utd,0.7,1.5,53,"32,226",Jonny Evans,4-1-4-1,Craig Pawson,https://fbref.com/en/matches/c1f25d02/Leicester-City-Manchester-United-September-1-2022-Premier-League,
6,2022-09-04,14:00 ,Premier League,Matchweek 6,Sun,Away,L,2,5,Brighton,1.4,2.6,47,"31,185",Jonny Evans,4-4-2,Tony Harrington,https://fbref.com/en/matches/42d5b3b1/Brighton-and-Hove-Albion-Leicester-City-September-4-2022-Premier-League,
7,2022-09-17,17:30 ,Premier League,Matchweek 8,Sat,Away,L,2,6,Tottenham,1.8,2.2,56,"61,450",Jonny Evans,4-1-4-1,Simon Hooper,https://fbref.com/en/matches/99e44c16/Tottenham-Hotspur-Leicester-City-September-17-2022-Premier-League,
8,2022-10-03,20:00 ,Premier League,Matchweek 9,Mon,Home,W,4,0,Nott'ham Forest,1.3,1.1,51,"32,202",Jonny Evans,4-1-4-1,Robert Jones,https://fbref.com/en/matches/a7976021/Leicester-City-Nottingham-Forest-October-3-2022-Premier-League,
9,2022-10-08,15:00 ,Premier League,Matchweek 10,Sat,Away,L,1,2,Bournemouth,1.0,1.1,55,"10,272",Jonny Evans,4-1-4-1,Michael Salisbury,https://fbref.com/en/matches/7db2a40a/Bournemouth-Leicester-City-October-8-2022-Premier-League,
10,2022-10-15,12:30 ,Premier League,Matchweek 11,Sat,Home,D,0,0,Crystal Palace,1.0,0.4,54,"31,298",Youri Tielemans,4-1-4-1,Andy Madley,https://fbref.com/en/matches/37677e58/Leicester-City-Crystal-Palace-October-15-2022-Premier-League,
11,2022-10-20,20:15 ,Premier League,Matchweek 12,Thu,Home,W,2,0,Leeds United,0.8,1.3,46,"30,814",Youri Tielemans,4-1-4-1,Peter Bankes,https://fbref.com/en/matches/6356af5a/Leicester-City-Leeds-United-October-20-2022-Premier-League,
12,2022-10-23,14:00 ,Premier League,Matchweek 13,Sun,Away,W,4,0,Wolves,0.9,2.1,40,"31,425",Youri Tielemans,4-1-4-1,Michael Oliver,https://fbref.com/en/matches/8774e664/Wolverhampton-Wanderers-Leicester-City-October-23-2022-Premier-League,
13,2022-10-29,12:30 ,Premier League,Matchweek 14,Sat,Home,L,0,1,Manchester City,0.7,1.0,36,"32,223",Youri Tielemans,3-4-3,Robert Jones,https://fbref.com/en/matches/96b9ae4e/Leicester-City-Manchester-City-October-29-2022-Premier-League,
14,2022-11-05,17:30 ,Premier League,Matchweek 15,Sat,Away,W,2,0,Everton,2.3,1.2,51,"39,206",Youri Tielemans,4-1-4-1,David Coote,https://fbref.com/en/matches/831c73fc/Everton-Leicester-City-November-5-2022-Premier-League,
16,2022-11-12,15:00 ,Premier League,Matchweek 16,Sat,Away,W,2,0,West Ham,1.8,1.4,46,"62,459",Youri Tielemans,4-1-4-1,Jarred Gillett,https://fbref.com/en/matches/6e89557a/West-Ham-United-Leicester-City-November-12-2022-Premier-League,
18,2022-12-26,15:00 ,Premier League,Matchweek 17,Mon,Home,L,0,3,Newcastle Utd,0.5,1.9,60,"32,185",Youri Tielemans,4-2-3-1,Jarred Gillett,https://fbref.com/en/matches/8e186153/Leicester-City-Newcastle-United-December-26-2022-Premier-League,
19,2022-12-30,20:00 ,Premier League,Matchweek 18,Fri,Away,L,1,2,Liverpool,1.0,2.2,43,"53,343",Wilfred Ndidi,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/c5e4ccf5/Liverpool-Leicester-City-December-30-2022-Premier-League,
20,2023-01-03,19:45 ,Premier League,Matchweek 19,Tue,Home,L,0,1,Fulham,1.7,1.7,61,"30,813",Youri Tielemans,4-2-3-1,Darren Bond,https://fbref.com/en/matches/12e0894b/Leicester-City-Fulham-January-3-2023-Premier-League,
23,2023-01-14,15:00 ,Premier League,Matchweek 20,Sat,Away,L,0,2,Nott'ham Forest,1.0,2.4,61,"29,301",Marc Albrighton,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/95d3b457/Nottingham-Forest-Leicester-City-January-14-2023-Premier-League,
24,2023-01-21,15:00 ,Premier League,Matchweek 21,Sat,Home,D,2,2,Brighton,0.9,1.7,37,"32,056",Youri Tielemans,4-4-2,Thomas Bramall,https://fbref.com/en/matches/bcbbc55f/Leicester-City-Brighton-and-Hove-Albion-January-21-2023-Premier-League,
