,num,joueur
0,4,Alexandre Song
1,5,James Tomkins
2,8,Cheikhou Kouyaté
3,10,Mauro Zárate
4,16,Mark Noble
5,19,James Collins
6,21,Angelo Ogbonna
7,26,Nikica Jelavić
8,30,Michail Antonio
9,,
10,1,Darren Randolph
