,num,joueur
0,8,Rúben Neves
1,15,Willy Boly
2,16,Conor Coady
3,18,Diogo Jota
4,19,Jonny Castro
5,27,Romain Saïss
6,28,João Moutinho
7,32,Leander Dendoncker
8,37,Adama Traoré
9,,
10,21,John Ruddy
