,num,joueur
0,,Ian Evatt
1,,Alex Baptiste
2,,James Beattie
3,,Charlie Adam
4,,David Vaughan
5,,DJ Campbell
6,,Elliot Grandin
7,,David Carney
8,,Jason Puncheon
9,,
10,,Richard Kingson
