,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2018-08-11,15:00 ,Premier League,Matchweek 1,Sat,Away,W,2,0,Fulham,1.0,0.7,35,"24,821",Luka Milivojević,4-4-2,Mike Dean,https://fbref.com/en/matches/30875601/Fulham-Crystal-Palace-August-11-2018-Premier-League,
1,2018-08-20,20:00 ,Premier League,Matchweek 2,Mon,Home,L,0,2,Liverpool,0.4,2.6,37,"25,750",Luka Milivojević,4-4-2,Michael Oliver,https://fbref.com/en/matches/24e4536f/Crystal-Palace-Liverpool-August-20-2018-Premier-League,
2,2018-08-26,13:30 ,Premier League,Matchweek 3,Sun,Away,L,1,2,Watford,1.0,1.2,57,"20,014",Luka Milivojević,4-4-2,Anthony Taylor,https://fbref.com/en/matches/6ad36993/Watford-Crystal-Palace-August-26-2018-Premier-League,
4,2018-09-01,15:00 ,Premier League,Matchweek 4,Sat,Home,L,0,2,Southampton,2.4,2.7,50,"25,495",Luka Milivojević,4-4-2,Martin Atkinson,https://fbref.com/en/matches/2909fa0b/Crystal-Palace-Southampton-September-1-2018-Premier-League,
5,2018-09-15,15:00 ,Premier League,Matchweek 5,Sat,Away,W,1,0,Huddersfield,0.7,0.9,41,"23,696",Luka Milivojević,4-3-3,Lee Mason,https://fbref.com/en/matches/74198c9b/Huddersfield-Town-Crystal-Palace-September-15-2018-Premier-League,
6,2018-09-22,15:00 ,Premier League,Matchweek 6,Sat,Home,D,0,0,Newcastle Utd,0.9,0.2,61,"25,679",Luka Milivojević,4-3-3,Andre Marriner,https://fbref.com/en/matches/0cfd5c85/Crystal-Palace-Newcastle-United-September-22-2018-Premier-League,
8,2018-10-01,20:00 ,Premier League,Matchweek 7,Mon,Away,L,1,2,Bournemouth,0.4,1.8,55,"10,199",Luka Milivojević,4-3-3,Mike Dean,https://fbref.com/en/matches/82f2e66c/Bournemouth-Crystal-Palace-October-1-2018-Premier-League,
9,2018-10-06,15:00 ,Premier League,Matchweek 8,Sat,Home,L,0,1,Wolves,1.4,0.7,67,"25,715",Luka Milivojević,4-4-2,Michael Oliver,https://fbref.com/en/matches/e4ee9373/Crystal-Palace-Wolverhampton-Wanderers-October-6-2018-Premier-League,
10,2018-10-21,16:00 ,Premier League,Matchweek 9,Sun,Away,L,0,2,Everton,1.3,1.8,41,"38,668",Luka Milivojević,4-4-2,Anthony Taylor,https://fbref.com/en/matches/2a861cc1/Everton-Crystal-Palace-October-21-2018-Premier-League,
11,2018-10-28,13:30 ,Premier League,Matchweek 10,Sun,Home,D,2,2,Arsenal,2.3,0.9,43,"25,718",Luka Milivojević,4-4-2,Martin Atkinson,https://fbref.com/en/matches/9113792c/Crystal-Palace-Arsenal-October-28-2018-Premier-League,
