,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2020-09-21,20:15 ,Premier League,Matchweek 2,Mon,Away,W,3,1,Wolves,1.9,0.6,65,,Fernandinho,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/1c17eca3/Wolverhampton-Wanderers-Manchester-City-September-21-2020-Premier-League,
2,2020-09-27,16:30 ,Premier League,Matchweek 3,Sun,Home,L,2,5,Leicester City,0.9,2.9,72,,Fernandinho,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/31c2a061/Manchester-City-Leicester-City-September-27-2020-Premier-League,
4,2020-10-03,17:30 ,Premier League,Matchweek 4,Sat,Away,D,1,1,Leeds United,1.2,2.4,49,,Kevin De Bruyne,4-3-3,Mike Dean,https://fbref.com/en/matches/5ce15b58/Leeds-United-Manchester-City-October-3-2020-Premier-League,
5,2020-10-17,17:30 ,Premier League,Matchweek 5,Sat,Home,W,1,0,Arsenal,1.3,0.9,58,,Raheem Sterling,3-1-4-2,Chris Kavanagh,https://fbref.com/en/matches/e95b8546/Manchester-City-Arsenal-October-17-2020-Premier-League,
7,2020-10-24,12:30 ,Premier League,Matchweek 6,Sat,Away,D,1,1,West Ham,1.0,0.3,69,,Raheem Sterling,4-3-3,Anthony Taylor,https://fbref.com/en/matches/2b0c0eca/West-Ham-United-Manchester-City-October-24-2020-Premier-League,
9,2020-10-31,12:30 ,Premier League,Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1.6,0.5,65,,Kevin De Bruyne,4-3-3,Michael Oliver,https://fbref.com/en/matches/9aadc93d/Sheffield-United-Manchester-City-October-31-2020-Premier-League,
11,2020-11-08,16:30 ,Premier League,Matchweek 8,Sun,Home,D,1,1,Liverpool,1.4,1.2,54,,Kevin De Bruyne,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/26382194/Manchester-City-Liverpool-November-8-2020-Premier-League,
12,2020-11-21,17:30 ,Premier League,Matchweek 9,Sat,Away,L,0,2,Tottenham,1.4,0.7,66,,Kevin De Bruyne,4-3-3,Mike Dean,https://fbref.com/en/matches/8a038069/Tottenham-Hotspur-Manchester-City-November-21-2020-Premier-League,
14,2020-11-28,15:00 ,Premier League,Matchweek 10,Sat,Home,W,5,0,Burnley,1.7,0.5,68,,Kevin De Bruyne,4-2-3-1,Lee Mason,https://fbref.com/en/matches/2069ffbc/Manchester-City-Burnley-November-28-2020-Premier-League,
16,2020-12-05,15:00 ,Premier League,Matchweek 11,Sat,Home,W,2,0,Fulham,2.9,0.3,69,,Kevin De Bruyne,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/887dfef6/Manchester-City-Fulham-December-5-2020-Premier-League,
18,2020-12-12,17:30 ,Premier League,Matchweek 12,Sat,Away,D,0,0,Manchester Utd,1.3,0.6,54,,Fernandinho,4-2-3-1,Chris Kavanagh,https://fbref.com/en/matches/85cc70bb/Manchester-Derby-Manchester-United-Manchester-City-December-12-2020-Premier-League,
19,2020-12-15,20:00 ,Premier League,Matchweek 13,Tue,Home,D,1,1,West Brom,2.2,0.4,77,,Kevin De Bruyne,4-2-3-1,Peter Bankes,https://fbref.com/en/matches/40b42ca1/Manchester-City-West-Bromwich-Albion-December-15-2020-Premier-League,
20,2020-12-19,15:00 ,Premier League,Matchweek 14,Sat,Away,W,1,0,Southampton,0.9,0.7,52,,Kevin De Bruyne,4-2-3-1,Mike Dean,https://fbref.com/en/matches/8d4a02ae/Southampton-Manchester-City-December-19-2020-Premier-League,
22,2020-12-26,20:00 ,Premier League,Matchweek 15,Sat,Home,W,2,0,Newcastle Utd,3.0,0.3,74,,Kevin De Bruyne,3-4-3◆,Andre Marriner,https://fbref.com/en/matches/c1c40b30/Manchester-City-Newcastle-United-December-26-2020-Premier-League,
