,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2010-08-14,,Premier League,Matchweek 1,Sat,Home,W,1,0,Everton,,"25,869",,4-1-4-1,Phil Dowd,https://fbref.com/en/matches/f2676be7/Blackburn-Rovers-Everton-August-14-2010-Premier-League,
1,2010-08-21,,Premier League,Matchweek 2,Sat,Away,L,1,2,Birmingham City,,"21,394",,4-1-4-1,Michael Oliver,https://fbref.com/en/matches/2638d721/Birmingham-City-Blackburn-Rovers-August-21-2010-Premier-League,
2,2010-08-28,,Premier League,Matchweek 3,Sat,Home,L,1,2,Arsenal,,"25,059",,4-3-3,Chris Foy,https://fbref.com/en/matches/2b39e7c0/Blackburn-Rovers-Arsenal-August-28-2010-Premier-League,
3,2010-09-11,,Premier League,Matchweek 4,Sat,Away,D,1,1,Manchester City,,"44,246",,4-3-3,Mark Clattenburg,https://fbref.com/en/matches/fcc5349d/Manchester-City-Blackburn-Rovers-September-11-2010-Premier-League,
4,2010-09-18,,Premier League,Matchweek 5,Sat,Home,D,1,1,Fulham,,"23,759",,4-3-3,Anthony Taylor,https://fbref.com/en/matches/69135bc9/Blackburn-Rovers-Fulham-September-18-2010-Premier-League,
5,2010-09-25,,Premier League,Matchweek 6,Sat,Away,W,2,1,Blackpool,,"15,901",,4-3-3,Mike Dean,https://fbref.com/en/matches/0df19fcf/Blackpool-Blackburn-Rovers-September-25-2010-Premier-League,
6,2010-10-02,,Premier League,Matchweek 7,Sat,Away,L,0,1,Stoke City,,"25,515",,4-4-1-1,Howard Webb,https://fbref.com/en/matches/9d172182/Stoke-City-Blackburn-Rovers-October-2-2010-Premier-League,
7,2010-10-18,,Premier League,Matchweek 8,Mon,Home,D,0,0,Sunderland,,"21,894",,4-1-4-1,Lee Probert,https://fbref.com/en/matches/a350ba43/Blackburn-Rovers-Sunderland-October-18-2010-Premier-League,
8,2010-10-24,,Premier League,Matchweek 9,Sun,Away,L,1,2,Liverpool,,"43,328",,4-5-1,Phil Dowd,https://fbref.com/en/matches/08e8b965/Liverpool-Blackburn-Rovers-October-24-2010-Premier-League,
9,2010-10-30,,Premier League,Matchweek 10,Sat,Home,L,1,2,Chelsea,,"25,836",,4-1-4-1,Peter Walton,https://fbref.com/en/matches/0535ff5b/Blackburn-Rovers-Chelsea-October-30-2010-Premier-League,
10,2010-11-06,,Premier League,Matchweek 11,Sat,Home,W,2,1,Wigan Athletic,,"24,413",,4-1-4-1,Kevin Friend,https://fbref.com/en/matches/cbb82fa4/Blackburn-Rovers-Wigan-Athletic-November-6-2010-Premier-League,
11,2010-11-10,,Premier League,Matchweek 12,Wed,Away,W,2,1,Newcastle Utd,,"41,053",,5-4-1,Mike Jones,https://fbref.com/en/matches/f7417cd6/Newcastle-United-Blackburn-Rovers-November-10-2010-Premier-League,
12,2010-11-13,,Premier League,Matchweek 13,Sat,Away,L,2,4,Tottenham,,"35,700",,5-4-1,Andre Marriner,https://fbref.com/en/matches/f5bdbf74/Tottenham-Hotspur-Blackburn-Rovers-November-13-2010-Premier-League,
13,2010-11-21,,Premier League,Matchweek 14,Sun,Home,W,2,0,Aston Villa,,"21,848",,4-4-1-1,Michael Oliver,https://fbref.com/en/matches/a79e3620/Blackburn-Rovers-Aston-Villa-November-21-2010-Premier-League,
14,2010-11-27,,Premier League,Matchweek 15,Sat,Away,L,1,7,Manchester Utd,,"74,850",,4-1-4-1,Lee Probert,https://fbref.com/en/matches/bdf72639/Manchester-United-Blackburn-Rovers-November-27-2010-Premier-League,
15,2010-12-04,,Premier League,Matchweek 16,Sat,Home,W,3,0,Wolves,,"22,314",,4-4-1-1,Howard Webb,https://fbref.com/en/matches/e8ce1889/Blackburn-Rovers-Wolverhampton-Wanderers-December-4-2010-Premier-League,
16,2010-12-12,,Premier League,Matchweek 17,Sun,Away,L,1,2,Bolton,,"24,471",,5-4-1,Mark Clattenburg,https://fbref.com/en/matches/02974118/Bolton-Wanderers-Blackburn-Rovers-December-12-2010-Premier-League,
17,2010-12-18,,Premier League,Matchweek 18,Sat,Home,D,1,1,West Ham,,"21,934",,4-4-1-1,Mike Dean,https://fbref.com/en/matches/087bf577/Blackburn-Rovers-West-Ham-United-December-18-2010-Premier-League,
18,2010-12-26,,Premier League,Matchweek 19,Sun,Home,L,0,2,Stoke City,,"25,440",,5-3-2,Mike Jones,https://fbref.com/en/matches/f07ceab4/Blackburn-Rovers-Stoke-City-December-26-2010-Premier-League,
19,2010-12-28,,Premier League,Matchweek 20,Tue,Away,W,3,1,West Brom,,"24,440",,4-1-4-1,Phil Dowd,https://fbref.com/en/matches/6bccc607/West-Bromwich-Albion-Blackburn-Rovers-December-28-2010-Premier-League,
20,2011-01-01,,Premier League,Matchweek 21,Sat,Away,L,0,3,Sunderland,,"36,242",,4-4-1-1,Mike Dean,https://fbref.com/en/matches/37b32ec9/Sunderland-Blackburn-Rovers-January-1-2011-Premier-League,
21,2011-01-05,,Premier League,Matchweek 22,Wed,Home,W,3,1,Liverpool,,"24,522",,4-4-2,Andre Marriner,https://fbref.com/en/matches/0172586a/Blackburn-Rovers-Liverpool-January-5-2011-Premier-League,
22,2011-01-15,,Premier League,Matchweek 23,Sat,Away,L,0,2,Chelsea,,"40,846",,4-4-1-1,Martin Atkinson,https://fbref.com/en/matches/7be0d5f7/Chelsea-Blackburn-Rovers-January-15-2011-Premier-League,
23,2011-01-23,,Premier League,Matchweek 24,Sun,Home,W,2,0,West Brom,,"24,057",,4-1-2-1-2◆,Mark Clattenburg,https://fbref.com/en/matches/ea284ad3/Blackburn-Rovers-West-Bromwich-Albion-January-23-2011-Premier-League,
24,2011-02-02,,Premier League,Matchweek 25,Wed,Home,L,0,1,Tottenham,,"23,253",,4-1-2-1-2◆,Andre Marriner,https://fbref.com/en/matches/b38a8ebe/Blackburn-Rovers-Tottenham-Hotspur-February-2-2011-Premier-League,
25,2011-02-05,,Premier League,Matchweek 26,Sat,Away,L,3,4,Wigan Athletic,,"18,567",,4-1-2-1-2◆,Mike Dean,https://fbref.com/en/matches/396bf9e3/Wigan-Athletic-Blackburn-Rovers-February-5-2011-Premier-League,
26,2011-02-12,,Premier League,Matchweek 27,Sat,Home,D,0,0,Newcastle Utd,,"26,781",,4-1-2-1-2◆,Stuart Attwell,https://fbref.com/en/matches/2358b118/Blackburn-Rovers-Newcastle-United-February-12-2011-Premier-League,
27,2011-02-26,,Premier League,Matchweek 28,Sat,Away,L,1,4,Aston Villa,,"34,309",,4-1-4-1,Martin Atkinson,https://fbref.com/en/matches/be831087/Aston-Villa-Blackburn-Rovers-February-26-2011-Premier-League,
28,2011-03-05,,Premier League,Matchweek 29,Sat,Away,L,2,3,Fulham,,"25,687",,4-4-2,Mark Clattenburg,https://fbref.com/en/matches/ad4efeb9/Fulham-Blackburn-Rovers-March-5-2011-Premier-League,
29,2011-03-19,,Premier League,Matchweek 30,Sat,Home,D,2,2,Blackpool,,"27,209",,4-3-3,Howard Webb,https://fbref.com/en/matches/2445a28f/Blackburn-Rovers-Blackpool-March-19-2011-Premier-League,
30,2011-04-02,,Premier League,Matchweek 31,Sat,Away,D,0,0,Arsenal,,"60,087",,4-1-4-1,Phil Dowd,https://fbref.com/en/matches/66f7868b/Arsenal-Blackburn-Rovers-April-2-2011-Premier-League,
31,2011-04-09,,Premier League,Matchweek 32,Sat,Home,D,1,1,Birmingham City,,"28,426",,4-1-4-1,Chris Foy,https://fbref.com/en/matches/ef82d14c/Blackburn-Rovers-Birmingham-City-April-9-2011-Premier-League,
32,2011-04-16,,Premier League,Matchweek 33,Sat,Away,L,0,2,Everton,,"35,857",,4-4-1-1,Kevin Friend,https://fbref.com/en/matches/5e5667fa/Everton-Blackburn-Rovers-April-16-2011-Premier-League,
33,2011-04-25,,Premier League,Matchweek 34,Mon,Home,L,0,1,Manchester City,,"23,529",,4-4-2,Andre Marriner,https://fbref.com/en/matches/6efd17fb/Blackburn-Rovers-Manchester-City-April-25-2011-Premier-League,
34,2011-04-30,,Premier League,Matchweek 35,Sat,Home,W,1,0,Bolton,,"28,985",,4-4-2,Mike Dean,https://fbref.com/en/matches/0af634c6/Blackburn-Rovers-Bolton-Wanderers-April-30-2011-Premier-League,
35,2011-05-07,,Premier League,Matchweek 36,Sat,Away,D,1,1,West Ham,,"33,789",,4-1-4-1,Peter Walton,https://fbref.com/en/matches/054d4343/West-Ham-United-Blackburn-Rovers-May-7-2011-Premier-League,
36,2011-05-14,,Premier League,Matchweek 37,Sat,Home,D,1,1,Manchester Utd,,"29,867",,4-1-4-1,Phil Dowd,https://fbref.com/en/matches/90968818/Blackburn-Rovers-Manchester-United-May-14-2011-Premier-League,
37,2011-05-22,,Premier League,Matchweek 38,Sun,Away,W,3,2,Wolves,,"29,009",,4-4-1-1,Howard Webb,https://fbref.com/en/matches/7df1b984/Wolverhampton-Wanderers-Blackburn-Rovers-May-22-2011-Premier-League,
