,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2011-08-14,,Premier League,Matchweek 1,Sun,Away,D,0,0,Stoke City,,"27,421",,4-3-3,Mark Halsey,https://fbref.com/en/matches/e1629c06/Stoke-City-Chelsea-August-14-2011-Premier-League,
1,2011-08-20,,Premier League,Matchweek 2,Sat,Home,W,2,1,West Brom,,"41,091",,4-3-3,Lee Mason,https://fbref.com/en/matches/8c64da11/Chelsea-West-Bromwich-Albion-August-20-2011-Premier-League,
2,2011-08-27,,Premier League,Matchweek 3,Sat,Home,W,3,1,Norwich City,,"41,765",,4-1-2-1-2◆,Mike Jones,https://fbref.com/en/matches/67471b0c/Chelsea-Norwich-City-August-27-2011-Premier-League,
3,2011-09-10,,Premier League,Matchweek 4,Sat,Away,W,2,1,Sunderland,,"36,699",,4-3-3,Lee Probert,https://fbref.com/en/matches/0e397a42/Sunderland-Chelsea-September-10-2011-Premier-League,
5,2011-09-18,,Premier League,Matchweek 5,Sun,Away,L,1,3,Manchester Utd,,"75,455",,4-3-3,Phil Dowd,https://fbref.com/en/matches/45f18916/Manchester-United-Chelsea-September-18-2011-Premier-League,
6,2011-09-24,,Premier League,Matchweek 6,Sat,Home,W,4,1,Swansea City,,"41,800",,4-3-3,Mike Dean,https://fbref.com/en/matches/8497fe17/Chelsea-Swansea-City-September-24-2011-Premier-League,
8,2011-10-02,,Premier League,Matchweek 7,Sun,Away,W,5,1,Bolton,,"24,657",,4-3-3,Peter Walton,https://fbref.com/en/matches/63b80077/Bolton-Wanderers-Chelsea-October-2-2011-Premier-League,
9,2011-10-15,,Premier League,Matchweek 8,Sat,Home,W,3,1,Everton,,"41,789",,4-3-3,Mike Jones,https://fbref.com/en/matches/7681003d/Chelsea-Everton-October-15-2011-Premier-League,
11,2011-10-23,,Premier League,Matchweek 9,Sun,Away,L,0,1,QPR,,"18,050",,4-3-3,Chris Foy,https://fbref.com/en/matches/5c0fb99e/Queens-Park-Rangers-Chelsea-October-23-2011-Premier-League,
12,2011-10-29,,Premier League,Matchweek 10,Sat,Home,L,3,5,Arsenal,,"41,801",,4-3-3,Andre Marriner,https://fbref.com/en/matches/4b62e0c8/North-West-London-Derby-Chelsea-Arsenal-October-29-2011-Premier-League,
14,2011-11-05,,Premier League,Matchweek 11,Sat,Away,W,1,0,Blackburn,,"21,985",,4-3-3,Mike Dean,https://fbref.com/en/matches/50410ba2/Blackburn-Rovers-Chelsea-November-5-2011-Premier-League,
15,2011-11-20,,Premier League,Matchweek 12,Sun,Home,L,1,2,Liverpool,,"41,820",,4-3-3,Lee Probert,https://fbref.com/en/matches/0ca669dc/Chelsea-Liverpool-November-20-2011-Premier-League,
17,2011-11-26,,Premier League,Matchweek 13,Sat,Home,W,3,0,Wolves,,"41,648",,4-3-3,Lee Mason,https://fbref.com/en/matches/d938e2f3/Chelsea-Wolverhampton-Wanderers-November-26-2011-Premier-League,
18,2011-12-03,,Premier League,Matchweek 14,Sat,Away,W,3,0,Newcastle Utd,,"52,305",,4-3-3,Mike Dean,https://fbref.com/en/matches/896e3e89/Newcastle-United-Chelsea-December-3-2011-Premier-League,
20,2011-12-12,,Premier League,Matchweek 15,Mon,Home,W,2,1,Manchester City,,"41,730",,4-3-3,Mark Clattenburg,https://fbref.com/en/matches/81122a47/Chelsea-Manchester-City-December-12-2011-Premier-League,
21,2011-12-17,,Premier League,Matchweek 16,Sat,Away,D,1,1,Wigan Athletic,,"18,320",,4-3-3,Martin Atkinson,https://fbref.com/en/matches/a3aacbd0/Wigan-Athletic-Chelsea-December-17-2011-Premier-League,
22,2011-12-22,,Premier League,Matchweek 17,Thu,Away,D,1,1,Tottenham,,"36,141",,4-3-3,Howard Webb,https://fbref.com/en/matches/60a0b653/Tottenham-Hotspur-Chelsea-December-22-2011-Premier-League,
23,2011-12-26,,Premier League,Matchweek 18,Mon,Home,D,1,1,Fulham,,"41,548",,4-3-3,Kevin Friend,https://fbref.com/en/matches/a01b2c0f/Chelsea-Fulham-December-26-2011-Premier-League,
24,2011-12-31,,Premier League,Matchweek 19,Sat,Home,L,1,3,Aston Villa,,"41,332",,4-3-3,Mark Halsey,https://fbref.com/en/matches/cd266f53/Chelsea-Aston-Villa-December-31-2011-Premier-League,
25,2012-01-02,,Premier League,Matchweek 20,Mon,Away,W,2,1,Wolves,,"27,289",,4-2-3-1,Peter Walton,https://fbref.com/en/matches/afafba3f/Wolverhampton-Wanderers-Chelsea-January-2-2012-Premier-League,
26,2012-01-14,,Premier League,Matchweek 21,Sat,Home,W,1,0,Sunderland,,"41,696",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/5b05eeb9/Chelsea-Sunderland-January-14-2012-Premier-League,
27,2012-01-21,,Premier League,Matchweek 22,Sat,Away,D,0,0,Norwich City,,"26,792",,4-3-3,Mark Clattenburg,https://fbref.com/en/matches/7cef68ec/Norwich-City-Chelsea-January-21-2012-Premier-League,
28,2012-01-31,,Premier League,Matchweek 23,Tue,Away,D,1,1,Swansea City,,"20,526",,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/f8fbb0e0/Swansea-City-Chelsea-January-31-2012-Premier-League,
29,2012-02-05,,Premier League,Matchweek 24,Sun,Home,D,3,3,Manchester Utd,,"41,668",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/2fc9ac54/Chelsea-Manchester-United-February-5-2012-Premier-League,
30,2012-02-11,,Premier League,Matchweek 25,Sat,Away,L,0,2,Everton,,"33,924",,4-3-3,Mike Jones,https://fbref.com/en/matches/c6c6d042/Everton-Chelsea-February-11-2012-Premier-League,
32,2012-02-25,,Premier League,Matchweek 26,Sat,Home,W,3,0,Bolton,,"40,999",,4-3-3,Michael Oliver,https://fbref.com/en/matches/75997a1a/Chelsea-Bolton-Wanderers-February-25-2012-Premier-League,
33,2012-03-03,,Premier League,Matchweek 27,Sat,Away,L,0,1,West Brom,,"24,838",,4-3-3,Phil Dowd,https://fbref.com/en/matches/19e69487/West-Bromwich-Albion-Chelsea-March-3-2012-Premier-League,
