,num,joueur
0,,Sebastian Larsson
1,,Jack Colback
2,,John O'Shea
3,,Lee Cattermole
4,,Stéphane Sessègnon
5,,Steven Fletcher
6,,Adam Johnson
7,,Phil Bardsley
8,,Carlos Cuéllar
9,,
10,,Keiren Westwood
