,num,joueur
0,,Wayne Hennessey
1,,Kevin Foley
2,,George Elokobi
3,,Stephen Ward
4,,Karl Henry
5,,Matthew Jarvis
6,,Christophe Berra
7,,Richard Stearman
8,,Kevin Doyle
9,,Adam Hammill
10,,Nenad Milijaš
