,num,joueur
0,,Alex McCarthy
1,,Jobi McAnuff
2,,Mikele Leigertwood
3,,Jason Roberts
4,,Jay Tabb
5,,Shaun Cummings
6,,Adrian Mariappa
7,,Nicky Shorey
8,,Kaspars Gorkšs
9,,Jimmy Kébé
10,,Pavel Pogrebnyak
