,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,John Carew,,no NOR,FW,31-171,90,0,0,0,,,,0,0,,,,,,,0,,
1,Jonathan Walters,,ie IRL,"FW,MF",27-156,77,0,0,0,,,,1,0,,,,,,,0,,
2,Ricardo Fuller,,jm JAM,FW,31-115,13,0,0,0,,,,0,0,,,,,,,0,,
3,Rory Delap,,ie IRL,MF,34-232,90,0,0,0,,,,0,0,,,,,,,0,,
4,Glenn Whelan,,ie IRL,MF,27-041,90,0,0,0,,,,0,0,,,,,,,0,,
5,Dean Whitehead,,eng ENG,"DF,MF",29-033,90,0,0,0,,,,0,0,,,,,,,0,,
6,Jermaine Pennant,,eng ENG,MF,28-039,90,0,0,0,,,,0,0,,,,,,,0,,
7,Danny Pugh,,eng ENG,"DF,MF",28-127,90,0,0,0,,,,0,0,,,,,,,0,,
8,Robert Huth,,de GER,DF,26-189,90,0,0,0,,,,0,0,,,,,,,0,,
9,Ryan Shawcross,,eng ENG,DF,23-142,90,0,0,0,,,,0,0,,,,,,,0,,
10,Marc Wilson,,ie IRL,"DF,MF",23-190,86,0,0,0,,,,1,0,,,,,,,0,,
11,Andy Wilkinson,,eng ENG,DF,26-201,4,0,0,0,,,,0,0,,,,,,,0,,
12,Asmir Begović,,ba BIH,GK,23-248,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,0,0,0,,,,2,0,,,,,,,0,,
