,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,John Carew,,no NOR,FW,31-083,65,0,0,0,,,,0,0,,,,,,,0,,
1,Stephen Ireland,,ie IRL,MF,24-097,25,0,0,0,,,,0,0,,,,,,,0,,
2,Ashley Young,,eng ENG,"DF,FW",25-141,90,0,0,0,,,,0,0,,,,,,,0,,
3,Stewart Downing,,eng ENG,"FW,MF",26-128,90,0,0,0,,,,0,0,,,,,,,0,,
4,Barry Bannan,,sct SCO,MF,20-361,85,0,0,0,,,,0,0,,,,,,,0,,
5,Chris Herd,,au AUS,"DF,MF",21-237,5,0,0,0,,,,0,0,,,,,,,0,,
6,Robert Pirès,,fr FRA,"FW,MF",37-029,45,0,0,0,,,,0,0,,,,,,,0,,
7,Nathan Delfouneso,,eng ENG,"FW,MF",19-298,45,0,0,0,,,,0,0,,,,,,,0,,
8,Ciaran Clark,,ie IRL,"DF,MF",21-062,90,2,0,0,,,,1,0,,,,,,,0,,
9,Stephen Warnock,,eng ENG,DF,28-350,90,0,0,0,,,,0,0,,,,,,,0,,
10,Richard Dunne,,ie IRL,DF,31-067,90,0,1,0,,,,0,0,,,,,,,0,,
11,James Collins,,wls WAL,DF,27-096,90,0,0,0,,,,0,0,,,,,,,0,,
12,Luke Young,,eng ENG,DF,31-131,90,0,0,0,,,,0,0,,,,,,,0,,
13,Brad Friedel,,us USA,GK,39-193,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,2,1,0,,,,1,0,,,,,,,0,,
