,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2017-08-13,13:30 ,Premier League,Matchweek 1,Sun,Away,W,2,0,Newcastle Utd,2.5,0.8,72,"52,077",Hugo Lloris,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/d8a995d7/Newcastle-United-Tottenham-Hotspur-August-13-2017-Premier-League,
1,2017-08-20,16:00 ,Premier League,Matchweek 2,Sun,Home,L,1,2,Chelsea,0.7,0.7,68,"73,587",Hugo Lloris,4-3-2-1,Anthony Taylor,https://fbref.com/en/matches/1bf15b95/Tottenham-Hotspur-Chelsea-August-20-2017-Premier-League,
2,2017-08-27,16:00 ,Premier League,Matchweek 3,Sun,Home,D,1,1,Burnley,2.3,0.9,66,"67,862",Hugo Lloris,4-2-3-1,Lee Mason,https://fbref.com/en/matches/9402c6ee/Tottenham-Hotspur-Burnley-August-27-2017-Premier-League,
3,2017-09-09,15:00 ,Premier League,Matchweek 4,Sat,Away,W,3,0,Everton,1.8,0.9,49,"38,835",Hugo Lloris,3-5-1-1,Graham Scott,https://fbref.com/en/matches/2a7d4892/Everton-Tottenham-Hotspur-September-9-2017-Premier-League,
5,2017-09-16,17:30 ,Premier League,Matchweek 5,Sat,Home,D,0,0,Swansea City,1.1,0.2,75,"65,366",Hugo Lloris,3-5-1-1,Mike Dean,https://fbref.com/en/matches/bca1fa26/Tottenham-Hotspur-Swansea-City-September-16-2017-Premier-League,
7,2017-09-23,12:30 ,Premier League,Matchweek 6,Sat,Away,W,3,2,West Ham,1.2,0.6,51,"56,988",Hugo Lloris,3-5-1-1,Michael Oliver,https://fbref.com/en/matches/8c97796b/West-Ham-United-Tottenham-Hotspur-September-23-2017-Premier-League,
9,2017-09-30,12:30 ,Premier League,Matchweek 7,Sat,Away,W,4,0,Huddersfield,1.5,0.2,59,"24,169",Hugo Lloris,3-4-3,Niel Swarbrick,https://fbref.com/en/matches/f25c2561/Huddersfield-Town-Tottenham-Hotspur-September-30-2017-Premier-League,
10,2017-10-14,15:00 ,Premier League,Matchweek 8,Sat,Home,W,1,0,Bournemouth,1.8,0.2,72,"73,502",Hugo Lloris,4-2-3-1,Robert Madley,https://fbref.com/en/matches/0e98ac46/Tottenham-Hotspur-Bournemouth-October-14-2017-Premier-League,
12,2017-10-22,16:00 ,Premier League,Matchweek 9,Sun,Home,W,4,1,Liverpool,2.0,0.6,37,"80,827",Hugo Lloris,3-5-2,Andre Marriner,https://fbref.com/en/matches/b43525f5/Tottenham-Hotspur-Liverpool-October-22-2017-Premier-League,
14,2017-10-28,12:30 ,Premier League,Matchweek 10,Sat,Away,L,0,1,Manchester Utd,1.2,0.8,55,"75,034",Hugo Lloris,3-5-1-1,Jonathan Moss,https://fbref.com/en/matches/11f75bcb/Manchester-United-Tottenham-Hotspur-October-28-2017-Premier-League,
16,2017-11-05,12:00 ,Premier League,Matchweek 11,Sun,Home,W,1,0,Crystal Palace,0.9,0.8,68,"65,270",Harry Kane,3-5-1-1,Kevin Friend,https://fbref.com/en/matches/c91bcebc/Tottenham-Hotspur-Crystal-Palace-November-5-2017-Premier-League,
17,2017-11-18,12:30 ,Premier League,Matchweek 12,Sat,Away,L,0,2,Arsenal,0.7,2.1,57,"59,530",Hugo Lloris,3-5-2,Mike Dean,https://fbref.com/en/matches/ae345878/North-London-Derby-Arsenal-Tottenham-Hotspur-November-18-2017-Premier-League,
19,2017-11-25,15:00 ,Premier League,Matchweek 13,Sat,Home,D,1,1,West Brom,1.8,0.7,72,"65,905",Hugo Lloris,3-5-2,Mike Jones,https://fbref.com/en/matches/0ea2d13d/Tottenham-Hotspur-West-Bromwich-Albion-November-25-2017-Premier-League,
20,2017-11-28,19:45 ,Premier League,Matchweek 14,Tue,Away,L,1,2,Leicester City,2.4,0.6,62,"31,950",Hugo Lloris,3-5-2,Anthony Taylor,https://fbref.com/en/matches/49a854c5/Leicester-City-Tottenham-Hotspur-November-28-2017-Premier-League,
