,num,joueur
0,,Ciaran Clark
1,,Ron Vlaar
2,,Brett Holman
3,,Andreas Weimann
4,,Eric Lichaj
5,,Barry Bannan
6,,Matthew Lowton
7,,Stephen Ireland
8,,Darren Bent
9,,
10,,Shay Given
