,num,joueur
0,,Tim Krul
1,,Papiss Cissé
2,,Hatem Ben Arfa
3,,Fabricio Coloccini
4,,Jonás Gutiérrez
5,,Davide Santon
6,,Demba Ba
7,,Mike Williamson
8,,Yohan Cabaye
9,,James Perch
10,,Cheick Tioté
