,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2012-08-18,,Premier League,Matchweek 1,Sat,Home,D,0,0,Sunderland,,"60,078",,4-2-3-1,Chris Foy,https://fbref.com/en/matches/00377122/Arsenal-Sunderland-August-18-2012-Premier-League,
1,2012-08-26,,Premier League,Matchweek 2,Sun,Away,D,0,0,Stoke City,,"27,072",,4-2-3-1,Lee Mason,https://fbref.com/en/matches/aa331524/Stoke-City-Arsenal-August-26-2012-Premier-League,
2,2012-09-02,,Premier League,Matchweek 3,Sun,Away,W,2,0,Liverpool,,"44,932",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/0b68b804/Liverpool-Arsenal-September-2-2012-Premier-League,
3,2012-09-15,,Premier League,Matchweek 4,Sat,Home,W,6,1,Southampton,,"60,097",,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/97e07563/Arsenal-Southampton-September-15-2012-Premier-League,
5,2012-09-23,,Premier League,Matchweek 5,Sun,Away,D,1,1,Manchester City,,"47,318",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/4c5198c8/Manchester-City-Arsenal-September-23-2012-Premier-League,
6,2012-09-29,,Premier League,Matchweek 6,Sat,Home,L,1,2,Chelsea,,"60,101",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/14eacad5/North-West-London-Derby-Arsenal-Chelsea-September-29-2012-Premier-League,
8,2012-10-06,,Premier League,Matchweek 7,Sat,Away,W,3,1,West Ham,,"34,974",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/becb64ea/West-Ham-United-Arsenal-October-6-2012-Premier-League,
9,2012-10-20,,Premier League,Matchweek 8,Sat,Away,L,0,1,Norwich City,,"26,825",,4-2-3-1,Lee Probert,https://fbref.com/en/matches/0a9f9b23/Norwich-City-Arsenal-October-20-2012-Premier-League,
11,2012-10-27,,Premier League,Matchweek 9,Sat,Home,W,1,0,QPR,,"60,103",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/8301c0ad/Arsenal-Queens-Park-Rangers-October-27-2012-Premier-League,
12,2012-11-03,,Premier League,Matchweek 10,Sat,Away,L,1,2,Manchester Utd,,"75,492",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/921a3ac3/Manchester-United-Arsenal-November-3-2012-Premier-League,
14,2012-11-10,,Premier League,Matchweek 11,Sat,Home,D,3,3,Fulham,,"60,093",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/4f95af24/Arsenal-Fulham-November-10-2012-Premier-League,
15,2012-11-17,,Premier League,Matchweek 12,Sat,Home,W,5,2,Tottenham,,"60,111",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/f39b2855/North-London-Derby-Arsenal-Tottenham-Hotspur-November-17-2012-Premier-League,
17,2012-11-24,,Premier League,Matchweek 13,Sat,Away,D,0,0,Aston Villa,,"34,607",,4-2-3-1,Lee Mason,https://fbref.com/en/matches/fd194998/Aston-Villa-Arsenal-November-24-2012-Premier-League,
18,2012-11-28,,Premier League,Matchweek 14,Wed,Away,D,1,1,Everton,,"37,141",,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/c0759ba7/Everton-Arsenal-November-28-2012-Premier-League,
19,2012-12-01,,Premier League,Matchweek 15,Sat,Home,L,0,2,Swansea City,,"60,098",,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/6927d8ed/Arsenal-Swansea-City-December-1-2012-Premier-League,
21,2012-12-08,,Premier League,Matchweek 16,Sat,Home,W,2,0,West Brom,,"60,083",,4-2-3-1,Mike Jones,https://fbref.com/en/matches/0652e8cb/Arsenal-West-Bromwich-Albion-December-8-2012-Premier-League,
22,2012-12-17,,Premier League,Matchweek 17,Mon,Away,W,5,2,Reading,,"24,125",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/a59451c9/Reading-Arsenal-December-17-2012-Premier-League,
23,2012-12-22,,Premier League,Matchweek 18,Sat,Away,W,1,0,Wigan Athletic,,"21,754",,4-2-3-1,Jon Moss,https://fbref.com/en/matches/476448fe/Wigan-Athletic-Arsenal-December-22-2012-Premier-League,
24,2012-12-29,,Premier League,Matchweek 20,Sat,Home,W,7,3,Newcastle Utd,,"60,087",,4-2-3-1,Chris Foy,https://fbref.com/en/matches/93afcb62/Arsenal-Newcastle-United-December-29-2012-Premier-League,
25,2013-01-01,,Premier League,Matchweek 21,Tue,Away,D,1,1,Southampton,,"31,743",,4-2-3-1,Lee Probert,https://fbref.com/en/matches/c74e6d27/Southampton-Arsenal-January-1-2013-Premier-League,
26,2013-01-13,,Premier League,Matchweek 22,Sun,Home,L,0,2,Manchester City,,"60,107",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/8948660c/Arsenal-Manchester-City-January-13-2013-Premier-League,
27,2013-01-20,,Premier League,Matchweek 23,Sun,Away,L,1,2,Chelsea,,"41,784",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/84f8690d/North-West-London-Derby-Chelsea-Arsenal-January-20-2013-Premier-League,
28,2013-01-23,,Premier League,Matchweek 19,Wed,Home,W,5,1,West Ham,,"60,081",,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/203a99e0/Arsenal-West-Ham-United-January-23-2013-Premier-League,
29,2013-01-30,,Premier League,Matchweek 24,Wed,Home,D,2,2,Liverpool,,"60,089",,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/48f18f7e/Arsenal-Liverpool-January-30-2013-Premier-League,
30,2013-02-02,,Premier League,Matchweek 25,Sat,Home,W,1,0,Stoke City,,"59,872",,4-2-3-1,Chris Foy,https://fbref.com/en/matches/bd17ab8b/Arsenal-Stoke-City-February-2-2013-Premier-League,
31,2013-02-09,,Premier League,Matchweek 26,Sat,Away,W,1,0,Sunderland,,"46,402",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/fd6346e5/Sunderland-Arsenal-February-9-2013-Premier-League,
