,team,matchweek,Match Report
0,Arsenal-Stats,Matchweek 5,https://fbref.com/en/matches/e95b8546/Manchester-City-Arsenal-October-17-2020-Premier-League
1,Aston-Villa-Stats,Matchweek 27,https://fbref.com/en/matches/e52c1e46/Aston-Villa-Wolverhampton-Wanderers-March-6-2021-Premier-League
2,Brighton-and-Hove-Albion-Stats,Matchweek 25,https://fbref.com/en/matches/86f378b6/Brighton-and-Hove-Albion-Crystal-Palace-February-22-2021-Premier-League
3,Brighton-and-Hove-Albion-Stats,Matchweek 31,https://fbref.com/en/matches/ac6ac8f8/Brighton-and-Hove-Albion-Everton-April-12-2021-Premier-League
4,Burnley-Stats,Matchweek 16,https://fbref.com/en/matches/b33de500/Burnley-Sheffield-United-December-29-2020-Premier-League
5,Burnley-Stats,Matchweek 24,https://fbref.com/en/matches/34a4b546/Crystal-Palace-Burnley-February-13-2021-Premier-League
6,Burnley-Stats,Matchweek 38,https://fbref.com/en/matches/2c07a228/Sheffield-United-Burnley-May-23-2021-Premier-League
7,Chelsea-Stats,Matchweek 17,https://fbref.com/en/matches/85507602/Chelsea-Manchester-City-January-3-2021-Premier-League
8,Chelsea-Stats,Matchweek 23,https://fbref.com/en/matches/d3467620/Sheffield-United-Chelsea-February-7-2021-Premier-League
9,Crystal-Palace-Stats,Matchweek 17,https://fbref.com/en/matches/84a373f5/Crystal-Palace-Sheffield-United-January-2-2021-Premier-League
10,Crystal-Palace-Stats,Matchweek 19,https://fbref.com/en/matches/15d2f67c/Manchester-City-Crystal-Palace-January-17-2021-Premier-League
11,Crystal-Palace-Stats,Matchweek 22,https://fbref.com/en/matches/ca8297c0/Newcastle-United-Crystal-Palace-February-2-2021-Premier-League
12,Crystal-Palace-Stats,Matchweek 23,https://fbref.com/en/matches/ff2cee2b/Leeds-United-Crystal-Palace-February-8-2021-Premier-League
13,Crystal-Palace-Stats,Matchweek 24,https://fbref.com/en/matches/34a4b546/Crystal-Palace-Burnley-February-13-2021-Premier-League
14,Crystal-Palace-Stats,Matchweek 25,https://fbref.com/en/matches/86f378b6/Brighton-and-Hove-Albion-Crystal-Palace-February-22-2021-Premier-League
15,Crystal-Palace-Stats,Matchweek 38,https://fbref.com/en/matches/c2fc07f0/Liverpool-Crystal-Palace-May-23-2021-Premier-League
16,Everton-Stats,Matchweek 29,https://fbref.com/en/matches/ee055741/West-Bromwich-Albion-Everton-March-4-2021-Premier-League
17,Everton-Stats,Matchweek 31,https://fbref.com/en/matches/ac6ac8f8/Brighton-and-Hove-Albion-Everton-April-12-2021-Premier-League
