,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Ivan Cavaleiro,17.0,pt POR,FW,27-101,78,0,0,0,1,1,0,1,0,0,0,0,0,2,3,4,42.9
1,Aleksandar Mitrović,9.0,rs SRB,FW,26-133,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7
2,Ademola Lookman,19.0,ng NGA,LW,23-099,90,0,0,0,2,1,0,3,0,0,0,0,0,6,0,3,0.0
3,Ruben Loftus-Cheek,15.0,eng ENG,RW,25-004,90,0,0,0,1,1,0,1,0,1,0,0,0,4,1,8,11.1
4,Bobby Reid,14.0,jm JAM,"LM,RM",27-360,90,0,0,0,1,0,0,0,5,1,0,0,0,4,2,1,66.7
5,Harrison Reed,21.0,eng ENG,CM,26-000,65,1,0,0,2,2,0,1,0,1,0,0,0,6,3,2,60.0
6,Mario Lemina,18.0,ga GAB,CM,27-148,25,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,100.0
7,Andre-Frank Zambo Anguissa,29.0,cm CMR,CM,25-072,90,0,0,0,1,1,0,0,1,0,0,0,0,4,3,1,75.0
8,Kenny Tete,2.0,nl NED,RM,25-110,78,0,0,0,2,2,0,2,2,3,0,0,0,5,2,2,50.0
9,Joe Bryan,23.0,eng ENG,LM,27-132,12,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
10,Tosin Adarabioyo,16.0,eng ENG,CB,23-125,90,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0.0
11,Joachim Andersen,5.0,dk DEN,CB,24-241,90,0,0,0,1,0,0,0,4,1,0,0,0,5,4,3,57.1
12,Ola Aina,34.0,ng NGA,CB,24-111,90,0,0,0,2,1,0,1,1,0,0,0,0,6,2,2,50.0
13,Alphonse Areola,1.0,fr FRA,GK,27-335,90,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,100.0
14,14 Players,,,,,990,1,0,0,14,10,0,11,16,7,0,0,0,49,25,28,47.2
