,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Callum Paterson,13.0,sct SCO,FW,24-007,90,1,0,0,0,5,1,0,0,39,1,0,0,0.4,0.4,0.1,4,0,14,27,51.9,1,11,1,1,1
1,Bobby Reid,14.0,jm JAM,FW,25-260,90,1,1,0,0,1,1,0,0,46,1,0,2,0.3,0.3,0.2,4,1,24,34,70.6,1,20,0,5,2
2,Josh Murphy,11.0,eng ENG,LM,23-238,81,1,0,0,0,5,2,0,0,34,1,0,2,0.3,0.3,0.0,3,0,7,16,43.8,0,17,5,4,1
3,Kadeem Harris,23.0,eng ENG,LM,25-134,9,1,0,0,0,1,1,0,0,9,1,0,0,0.1,0.1,0.0,0,0,6,6,100.0,0,5,0,0,0
4,Harry Arter,7.0,ie IRL,CM,28-296,85,0,0,0,0,1,0,0,0,35,1,1,1,0.0,0.0,0.1,3,0,24,28,85.7,3,11,1,0,0
5,Loïc Damour,20.0,fr FRA,CM,27-285,5,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,1,1,4,5,80.0,1,3,0,0,0
6,Aron Gunnarsson,17.0,is ISL,CM,29-181,76,0,0,0,0,0,0,1,0,55,3,0,1,0.0,0.0,0.0,3,0,25,49,51.0,5,16,1,1,1
7,Jazz Richards,6.0,wls WAL,CM,27-191,14,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,1,1,0,0,0
8,Víctor Camarasa,21.0,es ESP,RM,24-145,90,0,1,0,0,2,0,0,0,53,1,0,1,0.1,0.1,0.2,8,1,35,46,76.1,5,32,4,2,2
9,Joe Bennett,3.0,eng ENG,LB,28-206,90,0,0,0,0,2,0,0,0,55,0,2,1,0.1,0.1,0.3,4,0,29,44,65.9,1,17,2,2,1
10,Sol Bamba,22.0,ci CIV,CB,33-280,90,0,1,0,0,0,0,1,0,32,3,7,1,0.0,0.0,0.1,2,1,12,18,66.7,1,12,0,1,1
11,Sean Morrison,4.0,eng ENG,CB,27-285,90,0,0,0,0,3,0,1,0,27,0,1,0,0.2,0.2,0.0,0,0,12,15,80.0,2,9,0,0,0
12,Bruno Ecuele Manga,5.0,ga GAB,RB,30-096,90,0,0,0,0,1,0,0,0,52,0,2,1,0.0,0.0,0.0,2,1,20,39,51.3,4,18,1,0,0
13,Neil Etheridge,1.0,ph PHI,GK,28-255,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,10,26,38.5,0,11,0,0,0
14,14 Players,,,,,990,4,3,0,0,22,5,3,0,478,12,14,10,1.5,1.5,1.1,34,5,224,356,62.9,25,183,15,16,9
