,equipe,lien
0,Leicester-City-Stats,https://fbref.com/en/squads/a2d435b3/2015-2016/Leicester-City-Stats
1,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/2015-2016/Arsenal-Stats
2,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/2015-2016/Tottenham-Hotspur-Stats
3,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/2015-2016/Manchester-City-Stats
4,Manchester-United-Stats,https://fbref.com/en/squads/19538871/2015-2016/Manchester-United-Stats
5,Southampton-Stats,https://fbref.com/en/squads/33c895d4/2015-2016/Southampton-Stats
6,West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/2015-2016/West-Ham-United-Stats
7,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/2015-2016/Liverpool-Stats
8,Stoke-City-Stats,https://fbref.com/en/squads/17892952/2015-2016/Stoke-City-Stats
9,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/2015-2016/Chelsea-Stats
10,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/2015-2016/Everton-Stats
11,Swansea-City-Stats,https://fbref.com/en/squads/fb10988f/2015-2016/Swansea-City-Stats
12,Watford-Stats,https://fbref.com/en/squads/2abfe087/2015-2016/Watford-Stats
13,West-Bromwich-Albion-Stats,https://fbref.com/en/squads/60c6b05f/2015-2016/West-Bromwich-Albion-Stats
14,Crystal-Palace-Stats,https://fbref.com/en/squads/47c64c55/2015-2016/Crystal-Palace-Stats
15,Bournemouth-Stats,https://fbref.com/en/squads/4ba7cbea/2015-2016/Bournemouth-Stats
16,Sunderland-Stats,https://fbref.com/en/squads/8ef52968/2015-2016/Sunderland-Stats
17,Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/2015-2016/Newcastle-United-Stats
18,Norwich-City-Stats,https://fbref.com/en/squads/1c781004/2015-2016/Norwich-City-Stats
19,Aston-Villa-Stats,https://fbref.com/en/squads/8602292d/2015-2016/Aston-Villa-Stats
