,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jordan Ayew,18.0,gh GHA,FW,26-223,90,0,0,0,3,3,0,1,0,1,0,0,0,1,3,6,33.3
1,Tom Carroll,14.0,eng ENG,"LM,LB,CM",25-329,90,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,
2,Ki Sung-yueng,4.0,kr KOR,CM,29-088,64,0,0,0,0,0,0,1,2,1,0,0,0,3,0,0,
3,Sam Clucas,17.0,eng ENG,"CM,LM",27-209,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
4,Andy King,24.0,wls WAL,CM,29-175,90,0,0,0,0,1,0,0,1,1,0,0,0,3,1,0,100.0
5,André Ayew,19.0,gh GHA,RM,28-126,90,0,0,0,1,1,1,0,0,0,0,0,0,7,0,2,0.0
6,Martin Olsson,16.0,se SWE,LB,29-340,74,1,0,0,1,0,0,3,3,1,0,0,0,4,0,0,
7,Tammy Abraham,10.0,eng ENG,LM,20-202,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
8,Alfie Mawson,6.0,eng ENG,CB,24-093,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
9,Federico Fernández,33.0,ar ARG,CB,29-060,66,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,
10,Kyle Bartley,27.0,eng ENG,CB,26-335,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,Mike van der Hoorn,5.0,nl NED,CB,25-189,90,0,0,0,1,0,0,0,4,1,0,0,0,2,4,0,100.0
12,Kyle Naughton,26.0,eng ENG,RB,29-156,90,0,0,0,0,0,0,0,2,1,0,0,0,6,5,1,83.3
13,Łukasz Fabiański,1.0,pl POL,GK,33-004,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
14,14 Players,,,,,990,1,0,0,8,6,1,6,14,6,0,1,0,37,14,10,58.3
