,num,joueur
0,,David Marshall
1,,Cala
2,,Mats Møller Dæhli
3,,Peter Whittingham
4,,Fábio
5,,Fraizer Campbell
6,,Kim Bo-kyung
7,,Gary Medel
8,,Jordon Mutch
9,,Steven Caulker
10,,Kévin Théophile-Catherine
