,num,joueur
0,,Vince Grella
1,,Morten Gamst Pedersen
2,,Brett Emerton
3,,Roque Santa Cruz
4,,Keith Andrews
5,,Ryan Nelsen
6,,Martin Olsson
7,,Jermaine Jones
8,,Míchel Salgado
9,,
10,,Mark Bunn
