,num,joueur
0,,John Ruddy
1,,Bradley Johnson
2,,Ricky van Wolfswinkel
3,,Joseph Yobo
4,,Nathan Redmond
5,,Alexander Tettey
6,,Wes Hoolahan
7,,Martin Olsson
8,,Russell Martin
9,,Sébastien Bassong
10,,Robert Snodgrass
